sequence	d.gRodon	metadata_NSTI
2547132081	6.53915748115725	0.001683
2547132083-cluster	0.489140878224497	2e-06
2547132099	5.65207115864219	0.008194
2547132134	2.38146941562667	0.053338
2547132168	2.10172415226173	0.035227
2547132186-cluster	0.325880786279162	2e-06
2547132207	0.520677253878931	2e-06
2547132210	2.10172415226173	3e-06
2547132245-cluster	6.53915748115725	4e-06
2547132309	3.39318865504023	3e-06
2547132385	2.58835915135382	0.052806
2548876514	0.21263691844084	0.003308
2548876523	8.6621900222682	0.038161
2548876762	3.84483139461177	0.004975
2548876795	3.22103764625199	0.095146
2548876814	2.50874900913764	0.047083
2548876850-cluster	0.675506657383414	3e-06
2548876877	0.858313175427354	0.001565
2548876991	0.560048571024681	0.020864
2548877091	5.83142835504431	0.013233
2548877151-cluster	2.50874900913764	2e-06
2551306046	3.42870757884482	0.011669
2551306077	5.25473153913366	0.006828
2551306082-cluster	4.31145792198844	0.019546
2551306119	6.14309384432084	2e-06
2551306169	4.98813647845834	0.014981
2551306224-cluster	0.711609666811772	0.004535
2551306260	0.982737466421942	0.005137
2551306356	2.38146941562667	2e-06
2551306406	1.27496581823505	3e-06
2551306438	1.01392267832559	3e-06
2551306454	1.41489089762213	0.015398
2551306469	3.28882437806082	0.03613
2551306491	1.34310741603199	0.001568
2551306492	2.3567991196707	0.00146
2551306581	5.53557499230655	0.004643
2551306649	5.0403508577685	2e-06
2551306666	2.84267040006922	2e-06
2551306688	1.32919379730703	3e-06
2554235170	0.494261064382598	0.001493
2554235211-cluster	15.0423983597724	0.001728
2554235351	1.52187870598502	3e-06
2554235366	1.09059103868171	0.001573
2554235375	4.98813647845834	3e-06
2554235401	1.49051090648306	0.002178
2554235432	1.12519876841988	0.017411
2554235439	1.10200703229213	0.002993
2554235449	7.10724563474744	0.001849
2556793004	1.58660860339709	0.67941
2556921110	0.339741437447655	0.009837
2556921621	1.11354252524327	3e-06
2558860128	1.60321676634378	0.280022
2558860240	4.22259344998669	0.00191
2558860283	4.26679434485442	0.001807
2558860349	4.68601506902794	0.323245
2558860405-cluster	0.831914043789823	0.003493
2558860711	1.63695646047558	0.001538
2558860812	1.74249594033851	0.001499
2558860862	1.816609325995	0.003004
2558860917	2.69844954270619	0.001484
2558860921	0.789707477511583	0.003498
2561511059	3.46459830453738	0.009179
2561511082	2.61545335118243	0.063254
2561511085	3.50086472403326	0.020179
2562617001	0.469185081438994	0.029631
2562617095	2.72669613711689	0.183459
2562617130-cluster	3.64976661322393	3e-06
2562617134	3.02594586443795	0.001683
2562617176	4.00836317987244	0.001512
2563366505	6.27237524386797	3e-06
2563366518	5.14642503303172	0.057223
2563366552	2.14595493348569	0.015323
2563366594-cluster	1.55390664077436	4e-06
2563366619	5.09311180219742	0.003349
2563366724	10.3397301743626	0.36916
2563366725	1.459789636065	0.106362
2563366745	6.81728673761644	0.077239
2563366750	1.21028133585189	0.001531
2563366800	1.22295021309995	0.004756
2563366908	1.38572824897003	3e-06
2563366936	1.65409165032266	0.001568
2563366937	1.24868719826292	0.006346
2563366957	1.7977905708959	0.001585
2563367009	0.773430631188439	0.006404
2563367033-cluster	4.54188734012395	3e-06
2563367080-cluster	7.88725235762742	2e-06
2563367171	1.50611314635223	0.057291
2563367174	1.55390664077436	2e-06
2563367179	4.44827343325658	0.158303
2565956511	4.78463224821737	0.001936
2565956671	0.942644090369215	0.07116
2565956682	1.10200703229213	0.032037
2565956714	1.1853359429407	0.004767
2565956732-cluster	1.83562507041489	0.003233
2565956774-cluster	0.913651193439016	0.001567
2565956863	2.56154562778504	3e-06
2565956943	3.02594586443795	0.00159
2568526046	1.93373156351863	0.001818
2568526195	1.85483986618317	0.004467
2568526292	1.93373156351863	0.002952
2568526442-cluster	2.19111655142558	0.001496
2568526529	1.74249594033851	0.001488
2568526573	0.993024479829788	2e-06
2568526667	6.14309384432084	0.007093
2568526699	2.84267040006922	3e-06
2571042021	2.01597875262562	3e-06
2571042196	0.923215031593291	0.00314
2571042240	4.63747135150275	0.0015
2571042241	2.84267040006922	8e-06
2571042359	2.40639795315167	0.934422
2571042567	1.77916676445109	3e-06
2571042581	5.42147995582047	0.001751
2571042585	1.13697702580064	0.001572
2571042690	1.16090470538253	6e-06
2571042751-cluster	1.83562507041489	0.001959
2571042765	2.26064726160658	0.050574
2571042803	0.781526680789603	0.003205
2571042922	5.09311180219742	0.166105
2574179744	4.63747135150275	0.044828
2574179749	4.31145792198844	0.009797
2574179754	8.75286333833175	2e-06
2574179782	2.28431106754167	0.009411
2574179805	1.1853359429407	0.00171
2574179806	0.972557019012219	0.003191
2574179812	2.07995181434553	0.002975
2574179945	2.50874900913764	0.001599
2574180055-cluster	5.36531735547304	3e-06
2574180177	2.01597875262562	3e-06
2574180188-cluster	3.53751076998723	2e-06
2574180411-cluster	14.579739430826	0.003325
2576861003	2.21405252986622	0.003437
2576861097	1.49051090648306	0.003232
2576861316	1.10200703229213	0.004891
2576861481	4.88532482577579	0.006545
2576861498	5.3097365589326	3e-06
2576861499	5.47823045012995	0.03881
2576861512-cluster	1.50611314635223	3e-06
2576861546	1.17305672225127	0.004696
2576861591	1.77916676445109	0.001538
2576861622	6.33803266554707	0.003528
2576861638	1.52187870598502	3e-06
2576861747	9.61284894127334	0.008858
2576861778	11.7159766896994	0.04995
2576861795	1.76073588713391	0.008029
2576861801	0.560048571024681	2e-06
2576861803	1.63695646047558	4e-06
2579778504	2.72669613711689	2e-06
2579778516	3.68797132136683	0.150089
2579778538	1.35716667851966	3e-06
2579778547	4.22259344998669	0.006756
2579778600	1.42970156896803	2e-06
2579778661	8.57245601599711	0.671257
2579778734	14.4287039044576	2e-06
2579778976	3.64976661322393	0.012231
2579779071	4.26679434485442	0.001926
2579779133	2.38146941562667	0.001586
2582580760	1.97442694099708	3e-06
2582580804	2.96357738342419	0.001591
2582580882	3.02594586443795	0.001593
2582580901	1.003419174738	4e-06
2582580912	4.31145792198844	0.001636
2582580918	2.16841817308698	0.04502
2582580926	0.952511417837416	2e-06
2582580981	1.23575170451464	0.001566
2582580987	5.77101898660103	2e-06
2582581316	6.14309384432084	0.005991
2582581873	1.06811261060103	0.073848
2585427705	2.26064726160658	0.0083
2585427719	4.13556058449183	2e-06
2585427723	4.78463224821737	0.003473
2585427796	1.50611314635223	0.055719
2585427809	1.55390664077436	0.031401
2585427837	1.76073588713391	0.001564
2585427866	3.76558467157745	2e-06
2585427888	3.39318865504023	0.472968
2585427908	2.53500987287359	2e-06
2585427923	4.78463224821737	2e-06
2585427924	2.69844954270619	2e-06
2585428023	0.40978160584359	0.012183
2588253745	1.76073588713391	0.002952
2588253772	3.25475454276435	0.293623
2588253828	0.972557019012219	0.003467
2588253851	7.40953732133874	0.353136
2588253860	10.6678408728262	0.001963
2588254051	1.459789636065	3e-06
2588254053	1.22295021309995	0.001606
2590828100	3.39318865504023	0.023295
2590828644	15.3589656077715	0.001652
2590828759-cluster	1.91369950698313	0.001485
2593339136	11.9625393992869	0.400911
2593339148	7.2568176070908	0.00158
2593339159	0.682577666965345	0.016502
2593339213	4.26679434485442	0.234122
2593339299	3.42870757884482	2e-06
2595698128	1.76073588713391	0.001485
2596583504	5.47823045012995	0.001715
2596583525	17.769538287452	0.18111
2596583539	6.7466645913356	0.02613
2596583568	2.3567991196707	0.001719
2596583597	2.26064726160658	0.171891
2596583641	5.14642503303172	0.070956
2596583644	1.67140620641323	0.083334
2596583655	7.10724563474744	0.021297
2597489864	8.75286333833175	0.080817
2597489923	0.932878981257185	3e-06
2597490136	2.58835915135382	0.003274
2597490172	2.99459925988675	0.106834
2597490182-cluster	5.53557499230655	0.001653
2597490228	3.88507798483417	2e-06
2597490268	0.913651193439016	0.001645
2597490273	12.601887165884	0.044549
2597490281-cluster	1.91369950698313	4e-06
2597490308	1.61999877876782	2e-06
2597490351	6.01647709406828	0.093308
2599185179	2.72669613711689	2e-06
2599185200	4.13556058449183	0.001612
2600254960-cluster	0.668508898332415	3e-06
2600255056-cluster	0.942644090369215	4e-06
2600255084	1.32919379730703	0.011206
2600255109	3.96683944444355	0.164877
2600255127	7.56547102171432	0.255403
2600255140	1.97442694099708	0.135689
2600255180-cluster	0.867297751110521	0.001568
2600255295	0.952511417837416	0.001561
2602041628	1.70658094719578	3e-06
2602041632	10.3397301743626	0.076669
2602041637	1.65409165032266	0.059719
2602041775-cluster	2.10172415226173	0.001469
2602041878-cluster	1.89387496802484	3e-06
2602042107	10.4479634986953	0.011624
2603879613-cluster	14.4287039044576	2e-06
2603879926	2.01597875262562	3e-06
2603879931-cluster	1.83562507041489	4e-06
2603880047	15.3589656077715	0.001771
2603880217	1.99509467486175	0.003136
2603880218-cluster	10.1266155669118	3e-06
2606217201-cluster	3.35803768152573	2e-06
2606217691	11.0063635093801	0.005809
2606217774-cluster	7.2568176070908	2e-06
2608642165-cluster	2.12372439675493	0.001687
2608642196-cluster	1.27496581823505	4.95227
2609459846	1.16090470538253	0.001568
2609459856	1.26175809704274	0.003552
2609459863	1.32919379730703	0.001568
2609459867-cluster	1.459789636065	5e-06
2609459908	1.13697702580064	0.001585
2609459916-cluster	1.1853359429407	0.003173
2609460007	1.85483986618317	0.087012
2609460011	1.61999877876782	0.020935
2609460038	2.21405252986622	2e-06
2609460060-cluster	1.28831179405755	3e-06
2609460090-cluster	2.14595493348569	5e-06
2609460113-cluster	2.48276018890398	3e-06
2609460158	0.913651193439016	0.057665
2609460165	1.30179747171997	3e-06
2609460166	10.4479634986953	0.004369
2609460210	1.31542431358105	2e-06
2609460239	1.44466727416572	0.006382
2609460270-cluster	5.53557499230655	0.033864
2609460271	5.53557499230655	0.033864
2609460288	5.53557499230655	0.015325
2609460292	5.53557499230655	0.044667
2609460319	7.64466419842346	0.447897
2615840522-cluster	2.10172415226173	0.009751
2615840536-cluster	2.84267040006922	0.068973
2615840592	4.78463224821737	0.032571
2615840720	6.60760750263613	0.059774
2616644814-cluster	3.80500172987475	0.048263
2617270756	2.7840794527034	0.004142
2617270824	3.42870757884482	0.288619
2617270828	6.07945584744788	0.07641
2617270881-cluster	6.14309384432084	0.022709
2617270899	6.07945584744788	0.00175
2617270977	1.28831179405755	2e-06
2617271028	4.35658902461379	3e-06
2617271044	1.21028133585189	0.003138
2617271048	6.7466645913356	0.048386
2617271195-cluster	5.36531735547304	0.00174
2619618861	7.96981384889669	0.236773
2619618994	1.63695646047558	0.130459
2619618999	1.74249594033851	0.301575
2619619006	3.28882437806082	0.001512
2619619170-cluster	5.47823045012995	0.0035
2619619202-cluster	5.42147995582047	5e-06
2619619224	1.83562507041489	0.035297
2619619234	6.07945584744788	1.464706
2619619247	2.7840794527034	2e-06
2622736517	2.6704955625274	0.098471
2622736519	6.47141655225667	0.101663
2622736581	4.63747135150275	0.043035
2622736589-cluster	2.21405252986622	0.0673
2622736609	8.30879305322065	0.047491
2627853600	3.15464808269573	0.166501
2627853625	8.6621900222682	0.134088
2627853627-cluster	10.7795087656675	0.001981
2627853660	4.54188734012395	0.045787
2627853678-cluster	1.31542431358105	4e-06
2627853679-cluster	2.33238439008839	0.002963
2627853736	4.4948366813398	0.008396
2627853800	1.17305672225127	0.00959
2627853829	4.78463224821737	0.042478
2627853861-cluster	6.96075652546087	4e-06
2627853930	1.17305672225127	0.001684
2627854027	1.38572824897003	0.001551
2627854031-cluster	2.75523840876118	0.001725
2627854054	4.26679434485442	0.025492
2627854076	2.7840794527034	0.032356
2627854097-cluster	3.1876700323339	0.001633
2627854123	4.54188734012395	0.02427
2627854147	3.61195767814896	0.016497
2627854148	4.54188734012395	0.001663
2630968205	10.4479634986953	0.001622
2630968262	7.80554614352897	0.058075
2630968302	7.72468634655014	0.001716
2630968318	3.92574586479811	2e-06
2630968326	5.53557499230655	2e-06
2630968360	0.885550030813411	0.001568
2630968495-cluster	1.61999877876782	0.035546
2630968647	5.47823045012995	2e-06
2630968678	3.53751076998723	0.10806
2630968768	1.34310741603199	0.000748
2630968921	6.7466645913356	0.067717
2630968975-cluster	0.405536565606189	4e-06
2630969031	4.98813647845834	2e-06
2634166427	4.26679434485442	0.003824
2634166442	1.93373156351863	2e-06
2634166443	4.63747135150275	0.001622
2634166444-cluster	3.1876700323339	3e-06
2634166496-cluster	0.689722693843718	2e-06
2636415431	8.1375385678456	0.001565
2636415462	16.1798381692576	0.023811
2636415467	10.5573297783662	0.095713
2636415486	0.952511417837416	2e-06
2636415524	5.14642503303172	0.080066
2636415527	4.58943051168419	0.039577
2636415568	2.6428311653093	0.003233
2636415587-cluster	1.35716667851966	0.001474
2636415620	4.93646300224871	0.195862
2636415679	5.53557499230655	0.00637
2636415714	3.68797132136683	0.029124
2636415727-cluster	3.42870757884482	2e-06
2636415866	3.42870757884482	2e-06
2636415906	1.27496581823505	0.001565
2636415926	1.58660860339709	0.012907
2636415968	7.80554614352897	0.025443
2636415969	5.53557499230655	0.040367
2636416043	6.47141655225667	0.220091
2636416093	1.816609325995	0.075066
2639762509-cluster	1.26175809704274	0.004703
2639762521	6.27237524386797	0.100067
2639762775-cluster	1.10200703229213	0.004429
2639762818-cluster	5.53557499230655	0.040893
2639762820	5.77101898660103	0.00157
2639762821	1.21028133585189	0.039152
2639762877	4.78463224821737	0.035291
2639762896	4.40219254665294	0.099177
2639762898-cluster	4.35658902461379	0.00177
2639762900-cluster	1.26175809704274	0.000794
2639762927	10.2326180687724	0.183309
2639762956-cluster	0.982737466421942	3e-06
2639763019	2.28431106754167	0.358094
2639763021-cluster	12.21429102068	3e-06
2639763065	1.09059103868171	3e-06
2639763066	3.42870757884482	0.003427
2639763067	10.7795087656675	0.108578
2639763071	2.8132223964061	0.00337
2639763115	1.27496581823505	0.001566
2639763134-cluster	0.89481971407222	3e-06
2639763152	0.560048571024681	0.003004
2639763167	1.32919379730703	0.008022
2642422507	1.17305672225127	2e-06
2642422508	3.32325084660317	3e-06
2642422581	2.3567991196707	0.064501
2643221488-cluster	3.42870757884482	4e-06
2643221550	9.12514789933123	0.035669
2643221562	8.84448579661279	0.007974
2643221616	3.15464808269573	0.110661
2643221689	3.57454041621997	0.062292
2643221692	4.17885044433254	2e-06
2643221751	4.83471640372253	0.009666
2643221771	1.99509467486175	0.003171
2643221783-cluster	8.05323957013243	0.017609
2643221799-cluster	7.64466419842346	0.001944
2643221810	2.03708143891446	0.011979
2643221817	5.3097365589326	0.070993
2643221849	6.47141655225667	0.023303
2643221851	4.40219254665294	0.031988
2645727543	0.343297753189793	0.011027
2645727552	1.47507029450322	0.031299
2645727585	9.91789351469621	2e-06
2645727596	2.21405252986622	0.003154
2645727626	2.21405252986622	0.003433
2645727640	1.21028133585189	0.004742
2645727651	2.8132223964061	0.042929
2645727682-cluster	1.68890200630161	3e-06
2645727802-cluster	0.962482033654166	0.001639
2645727843	1.21028133585189	0.001564
2645727845	1.50611314635223	0.057291
2645727852	5.3097365589326	0.006249
2645727952	1.003419174738	4e-06
2645727966	6.14309384432084	0.020676
2645728039-cluster	3.35803768152573	0.040951
2645728050	8.1375385678456	0.141765
2645728129-cluster	6.96075652546087	1.33649
2648501233	1.11354252524327	0.018729
2648501237	2.38146941562667	0.00901
2648501254	7.64466419842346	0.225389
2648501305	1.61999877876782	0.013437
2648501341	4.54188734012395	0.001653
2648501459	0.904186429711729	0.123608
2648501473	5.95415075489759	0.163455
2648501638	2.33238439008839	0.001487
2648501709	1.816609325995	3e-06
2648501729	0.923215031593291	2e-06
2648501736	15.3589656077715	0.168681
2648501740	2.16841817308698	0.003142
2648501746	2.72669613711689	0.019599
2648501773	0.972557019012219	0.014443
2648501784	1.21028133585189	0.003138
2648501790	9.51326679807841	0.366152
2648501853	1.83562507041489	0.001645
2648501874	10.2326180687724	0.176592
2651869619	4.40219254665294	0.052708
2651869724	1.42970156896803	0.004721
2651869737-cluster	4.7350669282391	2e-06
2651869756	4.13556058449183	0.001899
2651869762-cluster	4.4948366813398	0.016715
2651869835	4.58943051168419	0.162525
2651869839	1.77916676445109	0.001569
2651869852	0.393063480623031	0.004432
2651869858	1.55390664077436	0.179375
2651869865	2.12372439675493	0.008398
2651869906	2.2372285955385	0.001821
2651870172	2.10172415226173	0.137759
2651870259	15.5197388463385	0.016953
2651870319	7.64466419842346	0.0078
2654587500	5.89247007139775	0.003795
2654587544	1.11354252524327	0.036277
2654587547	2.6704955625274	0.001653
2654587599	2.72669613711689	0.042161
2654587604-cluster	2.99459925988675	0.023937
2654587606	5.83142835504431	0.00353
2654587642	1.57017248897326	0.001643
2654587645	5.09311180219742	0.001659
2654587657	2.40639795315167	0.001583
2654587741	1.17305672225127	0.005025
2654587756	7.64466419842346	0.111412
2654587838	2.28431106754167	0.001665
2654587895	5.47823045012995	0.070486
2654587970	0.537199907232876	0.003276
2654588044	4.63747135150275	0.012166
2654588052	1.61999877876782	0.001479
2654588124-cluster	2.12372439675493	0.001613
2657244966	0.384961956892369	0.002976
2657245029	0.589980827974394	0.001499
2657245238	2.87242665697277	0.529121
2657245441-cluster	0.942644090369215	4e-06
2657245450	1.0792933064855	3e-06
2657245458	0.405536565606189	0.004689
2657245499	7.64466419842346	2e-06
2657245559	3.88507798483417	0.001559
2657245649	1.50611314635223	0.001576
2657245703-cluster	6.53915748115725	0.001685
2660237903-cluster	0.952511417837416	0.000786
2660237975-cluster	1.24868719826292	4e-06
2660237976	1.83562507041489	4e-06
2660238054-cluster	1.41489089762213	0.001559
2660238218-cluster	0.789707477511583	2e-06
2660238262	4.44827343325658	0.001578
2660238595-cluster	0.781526680789603	0.001488
2660238622	1.10200703229213	4e-06
2663762783	5.89247007139775	0.005523
2663762905	10.2326180687724	2e-06
2663763159	1.24868719826292	3e-06
2663763169	2.8132223964061	0.00298
2663763211	2.14595493348569	0.004423
2663763217-cluster	4.09271917620256	0.001678
2663763227-cluster	1.31542431358105	0.001573
2663763240-cluster	1.47507029450322	2e-06
2663763257	1.95397330986572	0.004722
2663763333	2.87242665697277	0.032334
2663763345	7.03361972458858	0.076369
2663763442	3.22103764625199	0.008313
2663763481-cluster	0.696942512810322	0.001504
2663763499	4.98813647845834	0.088592
2663763522	1.68890200630161	0.006315
2667527234	4.26679434485442	0.056952
2667527430	1.61999877876782	0.001656
2667527434	2.38146941562667	0.041443
2667527445	1.7977905708959	0.140896
2667527474	0.885550030813411	2e-06
2667527496	0.689722693843718	0.001746
2667527511	0.982737466421942	0.003232
2667527566	3.96683944444355	0.011446
2667527571-cluster	5.89247007139775	0.188581
2667527860	1.93373156351863	0.193408
2667527870	2.14595493348569	0.001472
2667527887	2.05840502205949	0.001555
2667527900	0.689722693843718	0.00157
2667528055	1.21028133585189	3e-06
2667528163	5.59351980067264	0.1224
2667528164-cluster	4.58943051168419	0.097446
