sequence	genome.size	metadata_NSTI
2516143048-cluster	1.729468746	0.003285
2516143080	1.852048594	0.008214
2516143106	2.143175733	0.008345
2516493026	2.740752492	0.015715
2516653017	5.498799072	0.002062
2516653066	2.510915277	3e-06
2517093034-cluster	10.279413144	2e-06
2517287006	5.192349452	0.023311
2517287025	3.813326162	0.061319
2517487003	3.108492036	0.264829
2517572222	2.342367986	0.113385
2518285528	2.955267226	0.045578
2518285588	5.636701401	4e-06
2518645501	4.732675022	0.074491
2518645542	2.71010753	0.685823
2519103048-cluster	6.816532438	0.001636
2519103053-cluster	5.667346363	3e-06
2519103063	2.740752492	0.004634
2519103094-cluster	1.806081151	3e-06
2519103095	6.602017704	0.001664
2519103097	4.273000592	2e-06
2519103124-cluster	5.820571173	0.003
2519103129	6.218955679	0.001497
2519103146	4.70203006	0.003445
2519103147	5.789926211	0.004508
2519899535	4.579450212	0.095297
2519899580	3.997195934	0.004778
2519899592-cluster	2.418980391	2e-06
2519899625-cluster	4.793964946	3e-06
2519899727-cluster	4.717352541	0.001913
2519899805-cluster	1.898016037	0.00863
2519899829-cluster	2.878654821	3e-06
2519899835-cluster	5.253639376	6e-06
2519899839	1.852048594	3e-06
2521172630	6.295568084	0.032927
2521172666	2.909299783	0.001689
2522125046	1.545598974	0.007911
2522125118	5.483476591	0.007912
2522572009-cluster	3.614133909	0.113791
2522572039	4.977834718	0.08617
2522572097	4.916544794	0.027702
2522572147	1.668178822	2e-06
2522572169	1.162536949	0.001492
2522572200-cluster	1.039957101	0.001504
2523231006	4.058485858	0.014406
2523231020	3.031879631	2e-06
2523231024	1.882693556	2e-06
2523231036	5.284284338	0.005047
2523231054	6.004440945	0.151418
2523231055	2.265755581	0.135444
2523533510	5.268961857	0.00635
2523533541	4.518160288	0.163899
2523533554	3.368974213	0.262184
2523533556	5.131059528	0.137951
2523533564-cluster	5.92782854	2e-06
2523533582	3.093169555	0.010382
2523533607	3.62945639	0.098796
2524023137	2.71010753	0.181223
2524023149	3.675423833	0.005519
2524023196	5.238316895	0.041202
2524023199	7.383464235	0.00197
2524023210	9.896351119	2e-06
2524023237	1.668178822	0.004106
2524614540	4.640740136	0.165949
2524614546	7.705236336	2e-06
2524614555	3.292361808	0.259315
2524614836	1.239149354	3e-06
2526164515	3.123814517	2e-06
2526164595	5.268961857	0.003171
2526164605	2.832687378	0.001488
2526164666	5.069769604	3e-06
2527291724	6.280245603	0.194786
2528311013	7.00040221	0.001612
2529292758-cluster	5.069769604	5e-06
2529292913	5.146382009	4e-06
2531839146-cluster	5.069769604	3e-06
2531839198	2.112530771	0.003036
2531839218	2.035918366	0.020292
2531839348-cluster	4.058485858	7e-06
2531839356	3.859293605	0.003203
2531839408	7.414109197	0.003961
2531839413	2.081885809	0.00168
2531839463	3.353651732	0.008006
2531839508	4.196388187	3e-06
2531839611-cluster	6.23427816	4e-06
2531839625	4.656062617	4e-06
2531839657	2.127853252	3e-06
2531839678	1.591566417	0.003512
2531839682	7.659268893	2e-06
2531839703	4.472192845	0.001722
2531839711	1.668178822	0.001782
2531839741	3.384296694	0.969926
2534681667	3.690746314	0.003358
2534681668	3.690746314	3e-06
2534681685	4.288323073	0.001996
2534681697	5.069769604	0.00157
2534681968	1.591566417	0.00355
2534681983	2.020595885	0.007586
2534681984	2.020595885	0.029477
2534682142	3.644778871	0.010155
2534682204	3.981873453	0.102348
2534682293	2.2504331	0.001624
2534682323	2.081885809	0.004494
2537561513	5.422186667	0.001972
2537561554	3.552843985	0.026
2537561596	2.480270315	2e-06
2537561620	5.222994414	0.006378
2537561645	3.384296694	0.015631
2537561689	5.085092085	0.003167
2537561876	5.851216135	0.006414
2537561890	2.802042416	0.001511
2537561892	2.235110619	0.001602
2537561897	2.173820695	0.006412
2537561915	1.744791227	0.00173
2537561975	5.222994414	0.001586
2537562035	5.805248692	0.001498
2537562041	1.622211379	2e-06
2537562049	2.740752492	4e-06
2537562128	2.081885809	4e-06
2537562160	1.867371075	0.001476
2540341007	2.633495125	0.010866
2540341046	3.277039327	0.008403
2540341173	4.288323073	0.003198
2540341241	1.806081151	0.043282
2541047173-cluster	5.406864186	4e-06
2541047213	2.204465657	0.008015
2541047219	2.219788138	3e-06
2541047461	2.189143176	0.001589
2541047479-cluster	5.92782854	3e-06
2541047525	2.020595885	0.001504
2541047718-cluster	5.00847968	3e-06
2541047747	5.268961857	0.001585
2541047785	5.023802161	0.003155
2541047822	4.931867275	0.001585
2541047860	4.594772693	0.004786
2541047895	5.207671933	0.001585
2541047933	5.100414566	0.001585
2541047983	5.100414566	0.001584
2545824527	6.985079729	0.003473
2545824670	2.725430011	0.001485
2545824791	2.664140087	0.001672
2546825524	3.62945639	0.014475
2547132034	2.342367986	3e-06
2547132037	1.913338518	0.00147
2547132050	4.85525487	3e-06
2547132073	3.031879631	2e-06
2547132081	7.092337096	0.001683
2547132083-cluster	1.94398348	2e-06
2547132099	5.77460373	0.008194
2547132134	1.989950923	0.053338
2547132168	4.885899832	0.035227
2547132186-cluster	3.966550972	2e-06
2547132207	3.798003681	2e-06
2547132210	4.119775782	3e-06
2547132245-cluster	7.337496792	4e-06
2547132309	4.686707579	3e-06
2547132385	3.660101352	0.052806
2548876514	4.947189756	0.003308
2548876523	3.614133909	0.038161
2548876762	4.043163377	0.004975
2548876795	3.813326162	0.095146
2548876814	6.172988236	0.047083
2548876850-cluster	2.587527682	3e-06
2548876877	2.127853252	0.001565
2548876991	4.318968035	0.020864
2548877091	4.778642465	0.013233
2548877151-cluster	4.027840896	2e-06
2551306046	5.46815411	0.011669
2551306077	5.16170449	0.006828
2551306082-cluster	4.778642465	0.019546
2551306119	1.48430905	2e-06
2551306169	7.00040221	0.014981
2551306224-cluster	2.327045505	0.004535
2551306260	2.158498214	0.005137
2551306356	5.422186667	2e-06
2551306406	5.192349452	3e-06
2551306438	2.112530771	3e-06
2551306454	5.713313806	0.015398
2551306469	5.268961857	0.03613
2551306491	5.376219224	0.001568
2551306492	2.786719935	0.00146
2551306581	1.576243936	0.004598
2551306649	6.218955679	2e-06
2551306666	5.529444034	2e-06
2551306688	7.015724691	3e-06
2554235170	1.882693556	0.001493
2554235211-cluster	4.211710668	0.001728
2554235351	1.989950923	3e-06
2554235366	4.717352541	0.001573
2554235375	5.131059528	3e-06
2554235401	4.441547883	0.002178
2554235432	2.09720829	0.017411
2554235439	1.989950923	0.002993
2554235449	1.48430905	0.001848
2556793004	3.997195934	0.67941
2556921110	3.077847074	0.009837
2556921621	2.985912188	3e-06
2558860128	3.62945639	0.280022
2558860240	3.598811428	0.00191
2558860283	1.882693556	0.001807
2558860349	3.108492036	0.323245
2558860405-cluster	2.587527682	0.003493
2558860711	3.123814517	0.001538
2558860812	2.648817606	0.001499
2558860862	3.031879631	0.003004
2558860917	3.920583529	0.001484
2558860921	1.775436189	0.003498
2561511059	1.714146265	0.009179
2561511082	3.16978196	0.063254
2561511085	5.77460373	0.020179
2562617001	2.893977302	0.029631
2562617095	2.09720829	0.183459
2562617130-cluster	7.00040221	3e-06
2562617134	6.111698312	0.001683
2562617176	4.456870364	0.001512
2563366505	4.962512237	3e-06
2563366518	4.441547883	0.057223
2563366552	2.127853252	0.015323
2563366594-cluster	5.452831629	4e-06
2563366619	7.214916944	0.003349
2563366724	3.154459479	0.36916
2563366725	5.483476591	0.106362
2563366745	8.563295272	0.077239
2563366750	1.882693556	0.001531
2563366800	5.039124642	0.004756
2563366908	5.253639376	3e-06
2563366936	4.947189756	0.001568
2563366937	5.284284338	0.006346
2563366957	5.16170449	0.001585
2563367009	4.747997503	0.006404
2563367033-cluster	6.494760337	3e-06
2563367080-cluster	2.388335429	2e-06
2563367171	4.870577351	0.057291
2563367174	3.077847074	2e-06
2563367179	5.039124642	0.158303
2565956511	4.211710668	0.001936
2565956671	3.16978196	0.07116
2565956682	3.583488947	0.032037
2565956714	5.299606819	0.004767
2565956732-cluster	2.924622264	0.003233
2565956774-cluster	4.763319984	0.001567
2565956863	3.752036238	3e-06
2565956943	3.93590601	0.00159
2568526046	4.303645554	0.001818
2568526195	2.725430011	0.004467
2568526292	2.771397454	0.002952
2568526442-cluster	2.86333234	0.001496
2568526529	2.86333234	0.001488
2568526573	4.778642465	2e-06
2568526667	2.173820695	0.007093
2568526699	2.020595885	3e-06
2571042021	2.756074973	3e-06
2571042196	5.069769604	0.001574
2571042240	3.445586618	0.0015
2571042241	4.273000592	8e-06
2571042359	4.686707579	0.934422
2571042567	5.376219224	3e-06
2571042581	1.622211379	0.001751
2571042585	4.656062617	0.001572
2571042690	5.238316895	6e-06
2571042751-cluster	2.740752492	0.001959
2571042765	4.640740136	0.050574
2571042803	6.172988236	0.003205
2571042922	2.832687378	0.166105
2574179744	8.149588285	0.044828
2574179749	3.537521504	0.009797
2574179754	3.01655715	2e-06
2574179782	2.602850163	0.009411
2574179805	4.610095174	0.00171
2574179806	4.778642465	0.003191
2574179812	2.832687378	0.002975
2574179945	6.341535527	0.001599
2574180055-cluster	1.606888898	3e-06
2574180177	3.414941656	3e-06
2574180188-cluster	3.506876542	2e-06
2574180411-cluster	4.39558044	0.003325
2576861003	6.38750297	0.003437
2576861097	5.238316895	0.003232
2576861316	5.590733958	0.004891
2576861481	4.150420744	0.006545
2576861498	3.813326162	3e-06
2576861499	6.050408388	0.03881
2576861512-cluster	4.885899832	3e-06
2576861546	5.483476591	0.004696
2576861591	2.71010753	0.001538
2576861622	1.468986569	0.003528
2576861638	5.177026971	3e-06
2576861747	1.239149354	2e-06
2576861778	7.015724691	0.04995
2576861795	3.660101352	0.008029
2576861801	4.717352541	2e-06
2576861803	2.725430011	4e-06
2579778504	6.571372742	2e-06
2579778516	4.564127731	0.150089
2579778538	5.16170449	3e-06
2579778547	8.502005348	0.006756
2579778600	5.054447123	2e-06
2579778661	4.717352541	0.671257
2579778734	4.410902921	2e-06
2579778976	2.832687378	0.012231
2579779071	4.564127731	0.001926
2579779133	6.172988236	0.001586
2582580760	2.587527682	3e-06
2582580804	4.043163377	0.001591
2582580882	4.043163377	0.001593
2582580901	4.54880525	4e-06
2582580912	6.709275071	0.001636
2582580918	2.587527682	0.04502
2582580926	6.341535527	2e-06
2582580981	5.330251781	0.001566
2582580987	4.977834718	2e-06
2582581316	7.061692134	0.005991
2582581873	3.798003681	0.073848
2585427705	5.238316895	0.0083
2585427719	4.809287427	2e-06
2585427723	7.858461146	0.003473
2585427796	4.870577351	0.055719
2585427809	6.157665755	0.031401
2585427837	3.660101352	0.001564
2585427866	2.985912188	2e-06
2585427888	4.564127731	0.472968
2585427908	3.200426922	2e-06
2585427923	3.460909099	2e-06
2585427924	3.277039327	2e-06
2585428023	1.974628442	0.012183
2588253745	2.771397454	0.002952
2588253772	3.123814517	0.293623
2588253828	4.778642465	0.003467
2588253851	3.123814517	0.353136
2588253860	1.852048594	0.001963
2588254051	5.851216135	3e-06
2588254053	5.422186667	0.001606
2590828100	3.843971124	0.023295
2590828644	4.39558044	0.001652
2590828759-cluster	2.939944745	0.001485
2593339136	3.874616086	0.400911
2593339148	3.414941656	0.00158
2593339159	2.832687378	0.016502
2593339213	1.882693556	0.234122
2593339299	4.211710668	2e-06
2595698128	2.664140087	0.001485
2596583504	2.035918366	0.001715
2596583525	4.012518415	0.18111
2596583539	7.276206868	0.02613
2596583568	1.514954012	0.001719
2596583597	3.16978196	0.171891
2596583641	4.441547883	0.070956
2596583644	5.805248692	0.083334
2596583655	6.035085907	0.021297
2597489864	4.196388187	0.024405
2597489923	5.498799072	3e-06
2597490136	7.276206868	0.003274
2597490172	5.16170449	0.106834
2597490182-cluster	7.689913855	0.001653
2597490228	2.020595885	2e-06
2597490268	4.993157199	0.001645
2597490273	2.694785049	0.044549
2597490281-cluster	2.939944745	4e-06
2597490308	1.346406721	2e-06
2597490351	5.00847968	0.093308
2599185179	6.280245603	2e-06
2599185200	7.00040221	0.001612
2600254960-cluster	2.09720829	3e-06
2600255056-cluster	5.177026971	4e-06
2600255084	4.809287427	0.011206
2600255109	2.265755581	0.164877
2600255127	3.690746314	0.255403
2600255140	3.813326162	0.135689
2600255180-cluster	4.916544794	0.001568
2600255295	6.341535527	0.001561
2602041628	3.200426922	3e-06
2602041632	1.070602063	0.076669
2602041637	2.342367986	0.059719
2602041775-cluster	2.924622264	0.001469
2602041878-cluster	2.86333234	3e-06
2602042107	5.299606819	0.011624
2603879613-cluster	4.410902921	2e-06
2603879926	2.756074973	3e-06
2603879931-cluster	5.100414566	4e-06
2603880047	4.39558044	0.001771
2603880217	6.801209957	0.003136
2603880218-cluster	3.460909099	3e-06
2606217201-cluster	4.303645554	2e-06
2606217691	1.698823784	0.005809
2606217774-cluster	5.897183578	2e-06
2608642165-cluster	3.7826812	0.001687
2608642196-cluster	5.192349452	4.95227
2609459846	4.993157199	0.001568
2609459856	4.839932389	0.003552
2609459863	5.238316895	0.001568
2609459867-cluster	5.851216135	5e-06
2609459908	5.544766515	0.001585
2609459916-cluster	5.46815411	0.003173
2609460007	2.296400543	0.087012
2609460011	6.341535527	0.020935
2609460038	3.828648643	2e-06
2609460060-cluster	4.625417655	3e-06
2609460090-cluster	6.510082818	5e-06
2609460113-cluster	4.027840896	3e-06
2609460158	2.235110619	0.057665
2609460165	2.373012948	3e-06
2609460166	3.353651732	0.004369
2609460210	5.238316895	2e-06
2609460239	5.62137892	0.006382
2609460270-cluster	3.644778871	0.033864
2609460271	3.644778871	0.033864
2609460288	3.644778871	0.015325
2609460292	3.644778871	0.044667
2609460319	3.951228491	0.447897
2615840522-cluster	4.227033149	0.009751
2615840536-cluster	4.380257959	0.068973
2615840592	5.652023882	0.032571
2615840720	3.813326162	0.059774
2616644814-cluster	8.946357297	0.048263
2617270756	6.280245603	0.004142
2617270824	3.690746314	0.288619
2617270828	3.660101352	0.07641
2617270881-cluster	4.257678111	0.022709
2617270899	7.107659577	0.00175
2617270977	5.177026971	2e-06
2617271028	3.001234669	3e-06
2617271044	5.00847968	0.003138
2617271048	3.552843985	0.048386
2617271195-cluster	1.63753386	0.00174
2619618861	2.618172644	0.236773
2619618994	3.767358719	0.130459
2619618999	3.491554061	0.301575
2619619006	2.633495125	0.001512
2619619170-cluster	1.683501303	0.0035
2619619202-cluster	1.652856341	5e-06
2619619224	4.732675022	0.035297
2619619234	2.740752492	1.464706
2619619247	4.747997503	2e-06
2622736517	4.656062617	0.098471
2622736519	4.502837807	0.101663
2622736581	4.441547883	0.043035
2622736589-cluster	4.594772693	0.0673
2622736609	5.590733958	0.047491
2627853600	3.47623158	0.166501
2627853625	2.602850163	0.134088
2627853627-cluster	1.683501303	0.001981
2627853660	7.843138665	0.045787
2627853678-cluster	5.16170449	4e-06
2627853679-cluster	5.452831629	0.002963
2627853736	8.364103019	0.008396
2627853800	5.131059528	0.00959
2627853829	7.858461146	0.042478
2627853861-cluster	4.043163377	4e-06
2627853930	5.177026971	0.001684
2627854027	2.235110619	0.001551
2627854031-cluster	5.713313806	0.001725
2627854054	6.724597552	0.025492
2627854076	4.747997503	0.032356
2627854097-cluster	1.560921455	0.001633
2627854123	8.869744892	0.02427
2627854147	1.514954012	0.016497
2627854148	7.843138665	0.001663
2630968205	5.345574262	0.001622
2630968262	7.061692134	0.058075
2630968302	7.475399121	0.001716
2630968318	4.870577351	2e-06
2630968326	4.472192845	2e-06
2630968360	4.763319984	0.001568
2630968495-cluster	4.54880525	0.033744
2630968647	3.062524593	2e-06
2630968678	6.050408388	0.10806
2630968768	1.821403632	0.000748
2630968921	6.525405299	0.067717
2630968975-cluster	4.012518415	4e-06
2630969031	2.373012948	2e-06
2634166427	4.564127731	0.003824
2634166442	6.586695223	2e-06
2634166443	2.173820695	0.001622
2634166444-cluster	5.131059528	3e-06
2634166496-cluster	2.373012948	2e-06
2636415431	3.843971124	0.001565
2636415462	1.989950923	0.023811
2636415467	3.108492036	0.095713
2636415486	6.341535527	2e-06
2636415524	4.043163377	0.080066
2636415527	2.832687378	0.039577
2636415568	5.606056439	0.003233
2636415587-cluster	4.058485858	0.001474
2636415620	5.820571173	0.195862
2636415679	6.096375831	0.00637
2636415714	4.08913082	0.029124
2636415727-cluster	3.997195934	2e-06
2636415866	3.798003681	2e-06
2636415906	4.839932389	3e-06
2636415926	2.204465657	0.012907
2636415968	7.061692134	0.025443
2636415969	6.050408388	0.039396
2636416043	4.502837807	0.220091
2636416093	4.518160288	0.075066
2639762509-cluster	6.724597552	0.004703
2639762521	3.445586618	0.100067
2639762775-cluster	2.189143176	0.004429
2639762818-cluster	8.440715424	0.040893
2639762820	4.732675022	0.00157
2639762821	2.572205201	0.039152
2639762877	7.858461146	0.035291
2639762896	7.781848741	0.099177
2639762898-cluster	1.606888898	0.00177
2639762900-cluster	1.852048594	0.000794
2639762927	1.668178822	0.183309
2639762956-cluster	2.005273404	3e-06
2639763019	2.740752492	0.358094
2639763021-cluster	8.716520082	3e-06
2639763065	4.85525487	3e-06
2639763066	3.997195934	0.003427
2639763067	4.579450212	0.108578
2639763071	2.235110619	0.001678
2639763115	5.238316895	0.001566
2639763134-cluster	4.962512237	3e-06
2639763152	3.889938567	0.003004
2639763167	3.905261048	0.008022
2642422507	2.664140087	2e-06
2642422508	2.158498214	3e-06
2642422581	1.514954012	0.064501
2643221488-cluster	5.085092085	4e-06
2643221550	6.050408388	0.035669
2643221562	3.905261048	0.007974
2643221616	3.47623158	0.110661
2643221689	6.111698312	0.062292
2643221692	7.536689045	2e-06
2643221751	4.227033149	0.009666
2643221771	6.111698312	0.003171
2643221783-cluster	4.08913082	0.017609
2643221799-cluster	4.656062617	0.001944
2643221810	4.104453301	0.011979
2643221817	3.414941656	0.070993
2643221849	4.594772693	0.023303
2643221851	4.364935478	0.031988
2645727543	4.533482769	0.011027
2645727552	4.318968035	0.031299
2645727585	1.377051683	2e-06
2645727596	3.828648643	0.003154
2645727626	6.38750297	0.003433
2645727640	5.207671933	0.004742
2645727651	4.318968035	0.042929
2645727682-cluster	6.127020793	3e-06
2645727802-cluster	4.763319984	0.001639
2645727843	5.16170449	0.001564
2645727845	4.870577351	0.057291
2645727852	5.299606819	0.006249
2645727952	4.54880525	4e-06
2645727966	1.821403632	0.020676
2645728039-cluster	8.027008437	0.040951
2645728050	4.181065706	0.141765
2645728129-cluster	1.898016037	1.33649
2648501233	5.268961857	0.018729
2648501237	4.564127731	0.00901
2648501254	3.384296694	0.225389
2648501305	2.296400543	0.013437
2648501341	7.843138665	0.001653
2648501459	4.885899832	0.123608
2648501473	5.253639376	0.163455
2648501638	5.452831629	0.001487
2648501709	2.480270315	3e-06
2648501729	4.977834718	2e-06
2648501736	4.196388187	0.168681
2648501740	6.709275071	0.003142
2648501746	4.043163377	0.019599
2648501773	4.671385098	0.014443
2648501784	5.00847968	0.003138
2648501790	3.123814517	0.366152
2648501853	4.747997503	0.001645
2648501874	6.985079729	0.176592
2651869619	5.943151021	0.052708
2651869724	4.901222313	0.004721
2651869737-cluster	7.276206868	2e-06
2651869756	4.39558044	0.001899
2651869762-cluster	8.364103019	0.016715
2651869835	3.951228491	0.162525
2651869839	5.207671933	0.001569
2651869852	1.760113708	0.004432
2651869858	4.165743225	0.179375
2651869865	5.897183578	0.008398
2651869906	4.441547883	0.001821
2651870172	4.885899832	0.137759
2651870259	2.127853252	0.016953
2651870319	3.292361808	0.0078
2654587500	6.602017704	0.003795
2654587544	4.977834718	0.036277
2654587547	6.586695223	0.001653
2654587599	3.767358719	0.042161
2654587604-cluster	4.211710668	0.023937
2654587606	1.668178822	0.00353
2654587642	5.253639376	0.001643
2654587645	7.214916944	0.001659
2654587657	2.112530771	0.001583
2654587741	4.058485858	0.005025
2654587756	2.081885809	0.111412
2654587838	2.55688272	0.001665
2654587895	3.614133909	0.070486
2654587970	3.338329251	0.003276
2654588044	3.660101352	0.003041
2654588052	6.433470413	0.001479
2654588124-cluster	3.123814517	0.001613
2657244966	2.311723024	0.002976
2657245029	2.143175733	0.001499
2657245238	1.989950923	0.529121
2657245441-cluster	2.051240847	4e-06
2657245450	5.085092085	3e-06
2657245458	4.671385098	0.004689
2657245499	3.798003681	2e-06
2657245559	4.579450212	0.001559
2657245649	5.713313806	0.001576
2657245703-cluster	7.092337096	0.001685
2660237903-cluster	5.498799072	0.000786
2660237975-cluster	4.717352541	4e-06
2660237976	4.947189756	4e-06
2660238054-cluster	3.583488947	0.001559
2660238218-cluster	4.502837807	2e-06
2660238262	4.380257959	0.001578
2660238595-cluster	2.127853252	0.001488
2660238622	5.100414566	4e-06
2663762783	4.625417655	0.005523
2663762905	4.135098263	2e-06
2663763159	5.284284338	3e-06
2663763169	2.434302872	0.00298
2663763211	2.832687378	0.004423
2663763217-cluster	3.889938567	0.001678
2663763227-cluster	5.299606819	0.001573
2663763240-cluster	3.62945639	2e-06
2663763257	4.594772693	0.004722
2663763333	2.327045505	0.032334
2663763345	4.579450212	0.076369
2663763442	6.295568084	0.008313
2663763481-cluster	2.127853252	0.001504
2663763499	1.913338518	0.088592
2663763522	4.39558044	0.006315
2667527234	3.246394365	0.056952
2667527430	6.341535527	0.001656
2667527434	4.717352541	0.041443
2667527445	2.55688272	0.140896
2667527474	4.426225402	2e-06
2667527496	4.380257959	0.001746
2667527511	4.349612997	0.003232
2667527566	2.848009859	0.011446
2667527571-cluster	3.920583529	0.188581
2667527860	2.281078062	0.193408
2667527870	2.832687378	0.001472
2667527887	5.544766515	0.001555
2667527900	5.192349452	0.00157
2667528055	5.222994414	3e-06
2667528163	3.951228491	0.1224
2667528164-cluster	3.951228491	0.097446
2667528173	5.46815411	0.001647
2671180033	6.617340185	0.023516
2671180043	5.529444034	0.013135
2671180081	2.510915277	0.001616
2671180083-cluster	8.364103019	0.022093
2671180118	9.053614664	0.034154
2671180171	3.843971124	0.125172
2671180271	7.475399121	0.094063
2671180343	2.55688272	0.295826
2671180531	6.310890565	1.201765
2671180574-cluster	4.809287427	0.00195
2671180628	7.414109197	0.003379
2671180826-cluster	4.24235563	2e-06
2671180893	4.579450212	0.003493
2671181009	3.445586618	0.087782
2675903014	3.920583529	0.001521
2675903050	9.467321651	0.071272
2675903052	4.456870364	0.041509
2675903158	3.721391276	0.122302
2675903223	8.563295272	0.048193
2675903234	2.618172644	2e-06
2675903238	3.951228491	0.00168
2675903475	6.310890565	0.673521
2675903476-cluster	4.916544794	0.00157
2675903531	2.817364897	3e-06
2675903560	8.639907677	0.074901
2675903683	3.353651732	0.005777
2681812872	2.924622264	0.305458
2681812983-cluster	4.410902921	2e-06
2681812988	7.429431678	0.008753
2681813031	2.434302872	0.008236
2681813064	3.062524593	0.051153
2681813192	3.997195934	0.005295
2681813250	4.793964946	4e-06
2681813256	4.947189756	0.00632
2681813305	5.544766515	0.001584
2681813421-cluster	5.115737047	0.001569
2681813509	4.962512237	0.032054
2681813557	2.342367986	0.01065
2684622507	3.981873453	5e-06
2684622540	1.668178822	0.035242
2684622551	5.789926211	0.003994
2684622604	10.417315473	0.02545
2684622628	1.928660999	0.007529
2684622633	3.644778871	2e-06
2684622675	4.793964946	0.004704
2684622831	4.165743225	0.221323
2684622904	3.905261048	0.356881
2684622906	4.334290516	0.053508
2684623059-cluster	4.686707579	0.005146
2684623091	10.37134803	0.00335
2684623096-cluster	5.192349452	0.003325
2684623102	7.092337096	0.003346
2684623109	4.947189756	2e-06
2684623110	9.022969702	2e-06
2684623176	3.997195934	0.001508
2684623178-cluster	1.239149354	0.00147
2684623188	6.203633198	0.014249
2684623203	7.843138665	3e-06
2684623207	2.081885809	0.018727
2687453177	4.717352541	0.003139
2687453197-cluster	7.322174311	0.006663
2687453203	5.483476591	0.003107
2687453208	1.591566417	0.005249
2687453220	7.475399121	0.091633
2687453265	2.09720829	3e-06
2687453288	6.310890565	0.014763
2687453302	10.463282916	0.016967
2687453331	2.173820695	0.073856
2687453380	2.572205201	0.026687
2687453384	9.773771271	0.030264
2687453409	2.388335429	0.053274
2687453474	4.39558044	0.001639
2687453570	7.843138665	0.045811
2687453606	3.537521504	2e-06
2687453778	4.318968035	0.00157
2687453780	5.299606819	0.005172
2690315604-cluster	6.203633198	3e-06
2690315655	5.805248692	0.015649
2690315760	2.924622264	3e-06
2690315861	4.196388187	0.174154
2690315863	7.858461146	0.029408
2690315875	4.747997503	0.164929
2690315887	5.897183578	0.010475
2690315921	6.310890565	0.240162
2690315952	2.786719935	0.006715
2693429543	2.434302872	2e-06
2693429635	4.885899832	0.003498
2693429689	1.775436189	0.033959
2693429821	4.165743225	0.190882
2693429865	4.70203006	0.051005
2693429871	4.257678111	0.129421
2693429894	4.257678111	2e-06
2693429896	3.384296694	0.118563
2695420333	2.832687378	0.001472
2695420407	3.368974213	0.032017
2695420413	3.966550972	3e-06
2695420492	5.743958768	0.001586
2695420681	4.135098263	0.001559
2695420869	3.905261048	0.001558
2695420937	3.675423833	0.005872
2695421016	3.583488947	1.46274
2698536364	3.491554061	0.003505
2698536385-cluster	5.376219224	0.003172
2698536452-cluster	3.981873453	0.888464
2698536814	3.798003681	0.056066
2698536819	3.200426922	0.045776
2700988679	3.736713757	0.001672
