assembly	d.gRodon
646564550	416.32
2706794887	410
2642422540	358.48
2519103099	419.49
2515075008	391.67
2642422561	370.24
2509601008	451.14
2502790017	439.63
2630968686-cluster	409.14
2634166439	413.39
2648501421	425.93
2630968669-cluster	429.11
2651869834	414.69
2627854269	397.42
2684622506	381.16
2630968805	411.26
2540341077	352.26
2576861399	371.97
2630968898	375.24
2636415905-cluster	385.24
2639762994	368.07
2667527934	381.77
2681813026	339.97
2627853753	371.1
2645727536	378.62
2651869866	369.42
2627853658	391.82
2627853858	389.09
2595698250	383.51
2627854140-cluster	388.02
2627853629-cluster	408.64
2651869869	400.65
2511231210	440.04
2728369318	438.16
2516653088-cluster	422.21
2728369320	444.34
2630968343-cluster	386.32
2681813006	396.63
2519899733	395.14
2636415780	386.26
2582581250	377.55
2728369539	349.7
2582580744	408.99
2681812966	306.47
2622736425	304.8
2654588138	306.64
2593339167	226.43
2619619116	330.56
2684622741	307.42
2627853951	281.79
2667527400	250.89
2622736427	170.51
2622736428	297.08
2540341183	257.68
2558860120	336.59
2627853524	361.83
2617271074	382.51
2681813027	361.9
2684622743	388.41
2684622742	343.23
2684622740	345.05
649633067	409.01
2627854017	395.89
2517093008	361.97
2511231109	218.74
2563366543	212.96
2506520039	251.06
2501025505	303.96
2588253738	246.26
2517093039	345.37
2687453501	311.54
2521172719	349.8
2518645553	259.02
2636415503	205.47
2681812990	270.18
2565956587	210.95
2681813028	228.95
2687453162	229.77
2687453428	210.48
2654588132	270.82
2681813416	267.73
2547132157	331.23
2513237398	337.14
2510065005	314.14
2645727876	367.05
2684622610	328.59
2684622511	309.25
2558860254	293.5
2667527490	285.95
2508501109	428.14
2667527221	467.06
2518645582	481.32
2554235424	390.32
2667527398	386.47
2540341115	303.37
2502171154-cluster	338.17
2654587522	417.16
2740892000	429.1
2728369529	427.97
2728369528	474.31
2728369300	455.63
2718217669	450.59
2695421019	543.97
2695421020	471.48
2728369726	459.82
2574179750	475.13
2721755900	406.65
2700988735-cluster	499.16
2700988733	495.99
2721755437	408.2
2264867017	460.59
2504643023	468.59
2718217641	459.95
2718217646	477.6
2263082000	483.51
2728369297	417.64
2502545036	420.89
2706794823	443.61
2630968793	413.03
2639762712	432.59
2651870209	452.7
2626541593	467.18
2657245301-cluster	386.52
2627854092	415.05
2518645532	411.46
2627853696	413.58
2630968656-cluster	388.46
2690315682	387.32
2630968650	392.71
2619619229	427.85
2603880166-cluster	459.02
2657244923	458.84
2510065023	459.26
2585427612	423.35
2698536741	482.02
2504756013	398.23
2524023239	348.98
2510065009	421.5
2721755430	502.91
2721755432	477.77
2718217655-cluster	412.28
2513020047	405.91
2721755427	399.24
2513237177	448.33
648028035	393.68
2505679052	415.28
2728369542	394.13
2505679005	387.18
2524614637	462.57
2574180086	429.24
2690315630	392.64
2740892001	428.64
2588254065	426.04
2681813025	453.43
2609460254-cluster	444.18
2645727535-cluster	444.9
2508501049	421.5
2721755443	376.91
2540341177	414.51
2548876770-cluster	407.63
2548876771	411.19
2548876772	399.88
2728369532-cluster	418.6
2636415484-cluster	407.1
2728369534	402.28
2524023197-cluster	413.58
2657245679	412.98
2556793003	405.86
2681813032	438.2
2681813019	423.5
2554235458	468.28
2627853727	493.62
648028062	456.7
2681813042	454.53
2681813017	466.69
2728369738	393.89
2512047039	503.2
2512047027	457.34
2511231093	448.78
2558860986	432.53
2684622995	351.34
2571042012	423.73
2747843220	438.4
2522125061	391.76
2524614882	368.42
2556793019	408.35
2506210001	403.9
2503982037	307.53
2687453730	430.81
2681813547	363.56
2519899651	435.91
2648501865	437.46
2556921018	424.73
2510461070	366.87
2690315654	261.56
2690315679	320.33
2585428133	282.3
2562617048	413.77
2522125054	461.99
2264867176-cluster	452.13
2527291520	440.58
2593339135	388.45
2690315793	402.54
2706794760	406.7
2616644823	416.67
2684623256-cluster	397.73
2619618849	409.57
2545824503	428.21
2645727641	434.14
2523231062	373.05
2509601028	321.52
2721755304	452.49
2721755320	438.27
2579778550	390.23
2708742701	424.39
2739367718	476.94
2687453111	348.8
644736322	340.33
2585428127	407.1
2571042004-cluster	451.28
2582580746	457.09
2582580565	323.01
2545824624	308.93
2565956804	299.36
2684623253	345.65
2606217176-cluster	381.33
2565956803	369.26
2602041555	378.76
2648501571	332.16
2582580544	344.72
2654587632	359.08
2529293003	245.56
2675903157	303.48
2713896796	277.13
2523533597	420.88
2651870314	328.55
2751185837	322.21
2513237375	166.92
2541048001	172.25
2565956542	374.23
2513237386	330.3
2541047505-cluster	342.72
2537561942	379.56
2548876973	438.36
2531839542	352.21
2512047052	327.06
2562617184	312.44
2502171150	295.01
2684623058	302.21
2687453525	358.38
2608642100	384.47
2687453141	427.1
2548877015	362.71
2600255104	254.3
2524614731	307.46
2585427650	294.67
2541046976	294.24
2524614758	260.19
646564505	208.23
2634166335	279.1
2718217975	277.39
2593339153	323.53
2627854285	442.73
2585428028	333.67
2600255108	296.79
2541046977	339.22
2623620518	266.1
2667527440	417.31
2534682138	246.71
2531839280	352.09
2541047506	420.13
2751185834	381.96
2751185835	268.34
2634166153-cluster	321.47
2537562196	328.72
2690315914	328.3
2627853889	335
2630968294-cluster	411.52
2548876842	271.96
2541047011	325.27
2537561773	330.54
2541048003	332.51
2600255107	278.72
2558860919	316.41
2534682016	279.74
2523533527	195.3
2744054831	351.37
2541047092	413.99
2724679041-cluster	345.93
2568526326	292.87
2576861448	261.26
2524614732	358.53
2617271076	357.94
2524023166	267.86
2534682015	243.55
2643221679	318.77
643692008	379.75
2634166281	349.3
2524614511	366.72
2627853598	344.73
2519103191	136.03
2523533599	127.16
2645727657	394.92
2597490242	235.74
2597490324	248.9
2630968778	248.38
2636415758	245.4
2671180988	238.78
2562617143	281.21
2600254972-cluster	286.95
2645727667	276.84
2511231214	291.98
2513237236	268.42
2518645551-cluster	277.61
2531839190-cluster	277.34
2554235433	291.41
2597490250	275.53
2636415739	267.93
2636415769	271.66
2636415789-cluster	279.28
2639762723	278.46
2721755707	275.14
2526164523	352.06
2513237174	379.81
2519899775	377.08
2630968953	377.63
2651869778	338.27
2597490240	223.42
2513237170	338.02
2519899591	314.99
2526164719	314.11
2537561799	315.16
2541047090	323.74
2597490229-cluster	331.22
2654588208-cluster	305.6
2660238393	317.09
2747842551	333.21
2597490239-cluster	340.75
2600255079-cluster	391.4
2558860116	321.61
2600254979-cluster	321.89
2513237167	272.9
2513237173	347.86
2541047014	236.16
2541047574-cluster	272.97
2547132112	270.21
2565956583	238.46
2565956584-cluster	238.67
2565956585	247.99
2565956586	235.14
2568526430	237.34
2576861761	244.99
2588253744	346
2597490264-cluster	248.36
2634166389	263.08
2634166421	251.77
2636415613	251.12
2636415902	280.13
2639762843	260.79
2639763079	263.95
2639763164	238.4
2645727643	246.59
2645728090	255.61
2648501748	316.11
2651870312	253.87
2744055085	247.18
2747842549	250
2597490241	314.26
2597490243	183.33
2660237904	183.94
2529292584	370.06
2597490261	358.89
2616644832	326.23
2597490208	327.06
2671180748	386.06
2558860922	262.33
2634166294-cluster	258.26
2562617144	246.55
2597490252	237.67
2671180475	236.83
2597490217	352.21
2600254973	337.84
2600254983-cluster	356.53
2558860115	290
2597490251-cluster	289.36
2627853632	303.93
2645727713	319.15
2597490194	302.44
2645728051	356.63
2660238275-cluster	300.94
2503754025-cluster	274.82
2503754026	280.25
2503754028	271.64
2503754029	232.39
2503754030-cluster	256.85
2513237168	360.97
2609460013-cluster	290.8
2657245662-cluster	277.7
2597490256	213.25
2675903275	202.94
2627854274	210.51
2503754032	277.69
2503754033-cluster	247.36
2503754034	280.33
2503754035-cluster	282.89
2503754037	292.45
2503754038	268.59
2503754039	263.07
2503754040-cluster	311.94
2513237171	247.64
2528768018	279.45
2529293221-cluster	268.21
2537561879	267.68
2585427648	274.73
2588254088-cluster	286.76
2588254090-cluster	289.33
2600254974-cluster	273.41
2600254982-cluster	278.05
2609460006-cluster	252.87
2627853716	284.12
2634166334	274.94
2687453622	241.86
2728369391	293.87
2744054475-cluster	292.17
2747842550	274.29
2524023203	179.81
2597490218	198.74
2695420660	176.63
2600254980	271.68
2660238375	271.96
2524023146	374.12
2597490263-cluster	372.76
2597489915-cluster	418.26
2502545009	191.26
2562617145	272.53
2597490216	215.34
2609460028-cluster	197.92
2597490262-cluster	295.43
2597490219	352.38
2627853606	350.99
2660238454	337.89
2600254975	262.68
2675903550	262.8
2597490258	235.56
2657244954	237.08
2597490226	219.2
2597490265-cluster	360.74
2568526170	363.3
2548877167	86.09
2600255001	91.9
2597489947	278.89
2524614804	319.02
2600254981-cluster	330.68
2524614678	322.63
2545824622	318.3
2558860129	324.87
2600254978	254
2600254984-cluster	316.16
2663763372	271.45
2671180426	344.48
2600254976	270.79
2524023141	244.91
2597490257-cluster	253.01
2531839498-cluster	110.42
2534682081	105.35
2534682082	117.1
2534682084-cluster	103.18
2534682085	112.83
2547132276	104.72
2547132266	102.15
2600255000	104.11
2529293143	86.96
2600254999	110.13
2534682083-cluster	66.21
2718217741	103.22
2537561560	263.02
2654587871	303.54
2524614662	320.78
2718218476	342.35
2636415475-cluster	322.02
2731957605	326.21
2574180248	289.94
2548877016	253.16
2744054563	268.86
2744054970	252.93
2634166182	339.71
2547132136	341.79
2634166531	326.82
2545824564	351.76
2505679089	380.67
646564520	376.08
2639762839	355.54
2505679016	342.41
2590828817	414.91
2731957583	419.95
2675903053	381.22
2556921112	304.64
2585427833	331.41
2643221818	384.65
2643221900	350.56
2643221690	363.06
2643221694-cluster	380.44
2744054515	406.98
2654588203	389.55
2690315899	358.81
2751185589	346.72
2505679049-cluster	397.27
2528768221	400.78
2645727600-cluster	377.35
2623620579	376.96
2551306489	412.1
2619619237	375.79
2681812868	380.46
2751185766	372.27
2627854284	368.1
2687453494	363.97
2596583702	365.05
2630968264	379.86
2504756063	327.43
2505679068	325.26
2531839721	329.09
644736376	268.78
2524614800	298.66
2728369740	334.87
2636416137	335.06
2643221613	307.11
2643221721	320.37
2681812856-cluster	316.92
2751185722	347.7
2561511089	315.32
2634166844	345.18
2596583659	360.7
2507525000	410.99
2738541272-cluster	377.85
2522572130	398.23
2739367654	450.97
2606217812	307.7
2627853609	321.57
2657245272	277.9
2643221947	294.11
2731957599	347.89
2734482071	346.04
2547132155	233.36
646311968	305.87
2731957681	302.75
2690315957	335.8
2660238532	315.19
2667527640	347.05
2671180374	309.67
2690315954	298.07
2663762970	258.02
2687453759-cluster	310.12
2667528145	318.28
2690315943	300.26
2700989459	300.57
2690315940	321.71
2663763145	310.08
2663763507	322.82
2671180261	262.14
2690315958	327.84
2657244995	312.4
2663762912	319.35
2663763161	317.57
644736331	402.21
2547132178	415.2
2576861791	434.03
2751185778	381.39
2548876527	396.87
2541047015	216.49
2648501350	204.31
2731957604	231.38
2690315877	271.04
2721755616	248.06
2751185668	327.2
2687453142	328.15
2537562210	293.06
2687453746	302.62
2634166369	314.38
2744054774	292.58
2521172561	331.35
2648501268	357.4
2588253755	334.69
2590828657	300.99
649633057	338.19
2588253842	320.96
2531839443	360.58
2718217638	380.56
2721755827	346.73
2690315895	395.12
2643221703	319.77
2690315844-cluster	366.74
2524023180	335.82
2639762785	356.05
2630968446	333.67
2681812814	325.18
2630968646	278.61
2643221704	319.09
2634166482	302.76
2731957585	256.08
2734482797	346.79
644736380	331.19
2645728084	345.85
2645727824	339.89
2648501368	358.13
2513237258	355.57
2671180024	374.67
2524614884	456.13
2671180066	317.29
2634166372	351.53
2643221567	346.54
2643221624	348.61
2643221855-cluster	315.06
2630968219	423
2751185733	455.04
2643221844	428.67
2600254961	278.07
2681812969	352.25
2675903632	402.43
2524614805	366.57
2547132400	389.27
2522125155	358.38
2740892466	374.73
2643221875-cluster	379.96
2643221711	352.81
2643221876	340.34
2636416099	347.96
2636415408	261.54
2630968945	411.12
2731639219	371.79
2630968525	299.07
2708742401	275.32
2708742395	338.88
2643221748-cluster	295.44
2643221787	323.09
2643221872	310.13
2708742470	327.69
2623620613	357.26
2634166154	361.35
2634166279	337.85
2597489936	335.81
2721755702	270.91
2698536811	338.95
2634166342	312.71
2643221549	345.57
2524023150	312.08
2643221754	306.01
2643221700	289.89
2643221619	328.1
2744054554	322.71
2690315658	291.88
2524023187	310.81
2734482167	416.88
2513237284	208.63
2675903689	187.58
2751185490	334.42
2636415928	509.2
2582580973	402.6
2708742539	438.29
2636415847-cluster	427.58
2744054585	458.23
2731639183	309.23
2596583567	263.46
2651869507	273.87
2651869521	272.55
2751185728	270.44
2663762753	304.24
2667527407	299.36
2667527402	319.03
2636416111	326.16
2597490200	296.69
2690315830	290.5
2731957856	287.92
2547132189-cluster	305.21
2630968408-cluster	336.28
2551306668	309.74
2731957857	340.45
2731957879	386.21
2731957880	365.93
2751185788	273.22
2551306524	324.33
2681813048	299.11
2643221840	295.02
2643221815	300.69
2751185786	301.09
2751185787	319.56
2721755459	327.61
2602042068	294.92
2595698215	327.21
2731639227	341.74
2643221908	355.54
2636415915-cluster	342.4
2643221862-cluster	320.9
2643221922	314.88
2643221827-cluster	326.11
2721755458	361.11
2524614536	342.89
2718217681	281.61
2523533581	315.37
2731957611	236.63
2521172760	288.74
2667527392	306.08
2731957614	283.88
2523533583	319.31
2734482166	309.31
2602041580	359.61
2579779107	278.6
2554235749	247.12
2639762661	326.24
2643221910	317.54
2522125173-cluster	309.4
2639762589-cluster	315.56
2639762526-cluster	312.75
2643221897	356.67
2643221865	306.21
2643221572-cluster	294.7
2548877166	199.2
2667528041	281.58
2524023214	245.34
2548876797	299.25
2639762569	320.23
2731957886	295.42
2657245433	267.6
2526164546	206.93
2576861310	268.66
2636415566	291.45
2744054967	299.04
2515154000	255.44
2643221446	379.82
2571042728	259.47
2639762578-cluster	288.83
2698536502	239.68
2551306110	259.39
2654587688-cluster	291.34
2616644834	304.3
2627854213-cluster	243.45
2643221811-cluster	240.34
2671180799	245.59
2636415545	274.55
2524614763	300.93
2728369555-cluster	291.3
2634166363-cluster	237.98
2721755905	315.67
2619619265	227.96
2576861730	233.02
2744054588	261.55
2585427556	322.86
2636415469	246.87
2547132176	250.71
2576861779	251.95
2731957587	244.2
2690315919	284.99
2648501514-cluster	210.27
2627854169-cluster	275.44
2681813053	244.3
2634166897-cluster	261.49
2617271234	232.27
2634166516	264.27
2731957582	273.81
2558309101-cluster	261.05
2639762635	260.72
2551306559	292.67
2519899511	262.25
2521172614-cluster	257.76
2639762631	255.04
2531839539-cluster	283.57
2522572100	273.03
2585428157	238.91
2526164566	241.06
2698536661	238.1
2706794585	211.66
2645728100	287.19
2643221803	287.21
2643221894-cluster	292.47
2643221903	287.22
2643221546	260.81
2643221553-cluster	255.66
2643221566	267.42
2643221575	276.79
2643221597	245.6
2718217947	261.18
2579778925	280.1
2687453447	267.33
2724679102	251.08
2690315932	260.01
2744054553	222.77
2740892225	289.63
2675903239	250.62
2643221918-cluster	365.29
2639762951-cluster	245.43
2551306562	244.23
2609459766	260.06
2609459760	316.66
2708742473	295.82
2710264756	267.07
2623620614-cluster	302.63
2731957891-cluster	256.86
2731957893	253.37
2698536670	239.1
2551306083	274.99
2551306116	241.21
2630968996	291.62
2585428094	217.89
2643221649	213.26
2634166341	258.48
2687453281	301.16
2744055029	180.96
2751185657-cluster	251.74
2667527394	253.24
2708742390	284.88
2643221737-cluster	284.06
2643221893-cluster	285.78
2708742472	308.71
2731957610	265.24
2713896982	293.79
2744054949	275.16
2524614761	294.51
2643221883	344.89
2643221885	337.84
2706795029	406.02
2708742461	315.92
2643221880-cluster	325.34
2744054984	354.75
2524023208	339.04
2657245033-cluster	335.26
2751185757	386.3
2728369736	325.72
2548876810	285.02
2545824763	281.08
2721755902	324.88
2504643007	110.32
2710264773	67.27
2643221632	324.83
2643221635	393.07
2517572146	357.53
2519899568	232.18
2643221705	228.82
2751185875	175.8
2634166197	373.88
2667527555	365.78
2684623062	299.29
2528768210	223.24
2684623226	262.09
2698536637	265.76
2731957569	256.37
2645727986	297.12
2524023227	425.85
2518645508	347.47
2519899710	347.09
2519103017	313.11
2519899713	344.52
2639762764	311.37
2654587575	370.21
2643221784	331.24
2551306361-cluster	274.72
2519899711	300.93
2642422544	308.04
2639762519-cluster	280.3
2634166276	256.29
2537561592	245.27
2706795028	236.04
2663762744	198.37
2643221510	188.91
2554235101	226.19
2654587724	186.1
2643221781	196.56
2643221913	258.58
2643221708	189.38
2690315846	187.49
2721755818	202.61
2609459742	179.57
2609459768	269.07
2609459738	270.96
2518645509-cluster	187.98
2751185874	215.16
2547132399	342.91
2617270780	364.07
2739367508	204.1
2728369644	266.16
2654587600	60.59
2554235227	208.07
2684622611	229.15
2627854287	192.58
2630968364	135.31
2681812973	191.4
2630968823-cluster	127.86
2645727772	125.47
2616645010	218.34
2556921096	251.93
2548877030	311.1
2721755800	399.86
2630968909-cluster	313.53
2540341240	353.63
2687453437	319.28
2724679117	342.96
2724679118	391.04
2547132105	354.17
2639762737	343.21
2739367653	361.45
2713896980	416.56
2547132190	439.55
2636415781	375.64
2526164567	252.41
2687453620	383.12
2713896981	392.08
2517287032	213.2
2751185873	198.36
2551306408	434.83
2574179829-cluster	371.91
2576861777	381.21
2630968544	375.4
2648501513-cluster	403.89
2675903547	399.49
2728369112	402.37
2744054593	405.31
2731957609	396.18
2718218086	233.04
2524023226	261.14
2602041911	237.58
2675903335	366.51
2667528166	404.3
2513237335	329.48
2510461014	279.57
2517572124	275.08
2643221490-cluster	261.42
2643221899	246.17
2523533508	250.54
2510917008-cluster	236.37
2684622508	243.01
2734481943	311.78
2690315828	307.29
2562617041	220.91
2718218256	194.98
2721755670	220.42
2731957828	190.74
2537561926	291.87
2634166551	273.1
2630968475	295.58
2634166282	250.03
2531839309	289.27
2648501281	213.74
2517572123	199.83
2517572214	241.83
2643221706	275.63
2643221808	276.95
2648501646	257.13
2643221845	240.99
2643221707	235.09
2690315906	226.79
2687453691	228.43
2728369374	254.42
2602041667	196.97
2513237283	192.83
2558860284	214.95
2609460180-cluster	197.02
2675903315-cluster	358.01
2731957608	367.24
2534682146	229.1
2687453485	251.12
2585427990	239.91
2517572001	244.54
2684622557	258.25
2524614768	298.02
2517572102	380.28
2724679791	320.28
2687453777	437.89
2728369474	391.82
2634166313	385.43
2639762615	418.41
2639763038	424.19
2509601042	344.58
2654587582	367.54
2728369516	353.89
2510065084	349.29
2700988713	380.33
2576861822	364.75
2506783011	373.45
2700989114	394.44
2517093007	365.61
2634166352	365.14
2645727714	397.22
2508501039	392.66
2506381019	335.85
2509887025	375.57
2517572101	414.41
2579778521	378.42
2619618881	399.65
2734482074	415.29
2600255077	365.39
2512564033	320.21
2556921017	352.96
2562617054	322.62
2599185193	380.74
2599185358	425.29
2724679778	337.36
2728369258	365.83
2700988699	391.54
2599185203	403.28
2599185195	401.91
2599185187	376.66
2724679686	400.93
2600255293	413.26
2599185194	338.91
2695420953	426.33
2585427554	421.67
646311931	345.61
2599185183	419.39
2700988693	429.34
2622736605	372.99
2622736631	422.49
2599185192	398.39
2561511235	366.28
2585427555	423.58
2687453773	397.13
2728369484	356.22
2602042031	458.96
2643221930	358.89
2643221932	409.1
2599185298	446.44
2619619277	327.1
2540341106	415.8
2585427561	406.88
2599185197	371.61
2522125134	356.54
2695420949	373.56
2690315646	342.21
2740892597	313.88
2751185683	396.9
2675903134	411.08
2751185784	381.51
2634166338	401.15
2728369278	386.46
2554235379	403.15
2728369518	392.03
2513237176	340.16
2675903218	394.63
2751185783	373.15
2554235409	362.15
2724679075	399.91
2511231151	433.76
2751185782	386.76
2636415654	320.53
2695420963	374.27
2724679919	379.72
2751185780	360.36
2675903059	415.57
2690315652	437.72
2515154016	346.6
2523533535	399.28
2718217679	422.88
2663762751	422.29
2671180087	470.66
2728369465	412.77
2513237120	433.68
2516653079	348.06
2523533533	435.11
2515154088-cluster	345.11
2515154125-cluster	344.64
2519103193-cluster	351.19
2501939600-cluster	356.45
2619619011-cluster	370.01
2739367903	381.77
2617270871	404.94
2681813563	366.06
2622736592	405.76
2622736432	414.95
2600254989	425.31
2623620611	389.72
2623620610	367.35
2623620569	399.93
2623620612	391.77
2623620609	424.7
2622736604	360.51
2623620557	408.13
2623620567	441.79
2739367861	414.99
2585427557	355.12
2622736613	358.68
2585427558	431.23
2515154124-cluster	349.74
2622736584	413.38
2630968772	423.03
2622736531	387.15
2622736513	367.42
2623620396	410.6
2585427560	373.44
2636415978	351.97
2617270872	389.93
2531839708	351.07
2622736534	404.38
2622736591	379.89
2619619047	392.01
2517434008	359.58
2524614807	353.43
2617270834	382.27
2619619644	366.01
2515154177	344.42
2516143118-cluster	367.87
2516493032	379.69
2585427559	365.48
2515154126-cluster	362.26
2515154182-cluster	362.98
2515154202-cluster	399.72
2751185840	362.65
2693429860	402.98
2622736606	385.98
2675903138-cluster	365.47
2627854289	384.01
2622736626	394.3
2623620551-cluster	365.51
2728369162	327.03
2622736535	431.57
2663762750	340.92
2634166273	408.7
2740891880	327.6
2739368068	359.37
2515154094-cluster	337
2622736612	430.91
2636416073	386.44
2517287023-cluster	351.64
2623620524	343.17
2737472056	403.63
2561511103	360.96
2563366531	349.64
2558860141	424.7
2596583683	379.51
2744054611	298.59
2558860395	114.06
2558860412	116.23
2558860421	105.95
2600255095	273.3
2744054894	287.58
2623620528	216.13
2597490150	233.89
2617270851	235.32
2541046993	229.5
2512047050	256.87
2681813517	258.63
2623620529	199.83
2554235426	193.47
2627854161	201.31
2648501457	199.29
2585427661	299.1
2627854278	220.85
2522572159	112.34
2561511200	109.85
2606217206	272.23
2690315867	319.12
2558860241	211.34
2515154014	177.65
2634166170	196.72
2718217777	122.66
2654588031	155.8
2511231059	189.54
2511231075-cluster	164.6
2511231083-cluster	150.81
2511231089	162.63
2511231091	133.37
2511231099	142.37
2511231111	151.26
2511231115	181.26
2511231126	152.19
2531839679-cluster	166.41
2541047477-cluster	221.58
2541047478	136.08
2548876921	174.11
2630968481	188.47
2639763133	163.97
2718217843	162.36
2639762811	314.66
2537561950	279.93
2623620526	274.23
2615840652	131.62
2571042744	176.56
2623620530	212.48
2524614613	182.98
2600255117	259.31
2623620527	206.89
2529292557	218.19
2554235405	147.75
2554235421-cluster	146.99
2636415695	129.56
2639763174	127.62
2684623129-cluster	165.18
2687453317	149.62
2687453329	123.84
2718218485	122.82
2576861442	217.46
2524023198	254.31
2556921045	264.1
2597490360-cluster	257.24
2597490159	204.27
2617271191	305.62
2660238682	192.72
2681813173	175.11
2657244997	167.62
2657245028-cluster	167.26
2663762951	169.14
2695420774	174.7
2700989377	202.94
2630968451-cluster	245.19
2606217205	53.3
2645727750	187.43
2630968455	275.62
2561511185	264.79
2524023165	194.29
2515154131	301.87
2645728081	220.43
2731957584	225.12
2648501444	236.16
2597490209	250.42
2634166344	284.42
2547132106	209.99
2603880163-cluster	219.91
2537561797	399.81
2600255151-cluster	397.12
2627854080	399.06
2623620533	173.64
2675903457	267.45
2630968875	257.71
2708742385	248.16
2556921672	237.87
2558860414-cluster	230.21
2511231067-cluster	115.45
2511231153	138.25
2512564036	147.82
2518645564	160.75
2518645565	157.07
2540341150	174.37
2588253761	117.25
2588253762-cluster	116.43
2627853633-cluster	153.59
2634166441-cluster	122.12
2636415463-cluster	122.43
2645727818	114.44
2648501731	121.44
2675903328	131.06
2541047000	291.74
2627853607	191.41
2636415433	210.39
2687453286	171.08
2687453511	197.39
2728369580	182.66
2600254920	224.54
2558860404-cluster	141.8
2718218447	214.56
2751185912	216.25
2751185910	236.93
2751185911	208.39
2623620534	420.5
2599185219	137.24
2513237121	261.14
2623620535	215.18
2684623105	206.73
2744054658	204.36
2554235357	170.1
2615840659	230.2
2551306128	304.59
2636416018	293.06
2562617094	171.2
2517093035-cluster	140
2563367224-cluster	157.46
2627853834	137.58
2627854250	140.3
2630968795-cluster	123.46
2636415853	125.22
2654587695	117.93
2515154059	173.88
2529292687	279.88
2615840660	205.06
2511231114	199.01
2684622509	200.98
2558860221	156.16
2617270853-cluster	326.47
2648501103	346.71
2547132114	345.57
2724679793	338.27
2728369259	345.77
2547132191	306.06
2737471650	345.81
2744054500	295.54
2512047058	326.86
2571042717	299.1
2636416144	308.44
2514885044	298.09
2523231037	296.56
2524614765	282.03
2519899569	337.31
646311932	306.58
2731957553	307.08
2563367079	284.98
2675903489	272.92
2645727985	280.11
2523231040	271.54
2639762576	272.26
2523231041	349.82
2514885045	269.96
2523231042	313.72
2512564042	269.81
2516493022	265.57
2523231043	266.51
2523231044	299.19
2523231045	316.14
2524614582	300.01
2523231046	259.26
2648501484	258.16
2675903424	259.25
2523231047	297.59
2523231035	330.58
2713896821	309.29
2513237321	297.45
2513237320	310.6
2751185826	315.49
2636416072	304.51
2519899672	363.81
2684622558-cluster	280.37
2731957593	350.1
2510917009-cluster	308.9
2516143052-cluster	308.73
2517093032-cluster	310.46
2519899837-cluster	289.94
2526164585-cluster	308.53
2526164611-cluster	304.41
2526164654-cluster	300.02
2526164680-cluster	294.83
2548876926-cluster	304.89
2548876927-cluster	312.62
2561511210	294.73
2568526042	304.55
2663762987-cluster	327.4
2663763210-cluster	310.37
2671180548	313.63
2690315715	300.25
2695420888	296.81
2558309009	358.22
2627853911-cluster	366.72
2619619251	414.34
2740892265	367.86
2648501395	350.43
2534681669	453.93
2541047521	456.77
2547132102-cluster	452.47
2554235361	457.03
2565956782	412.29
