assembly	genome.size
649633015	97.67
2513237170	99.15
2519899591	92.68
2526164719	98.25
2537561799	102.13
2541047090	96.61
2597490229-cluster	97.26
2654588208-cluster	93.46
2660238393	96.17
2747842551	97.39
2597490239-cluster	87.08
2600255079-cluster	76.82
2558860116	94.18
2600254979-cluster	94.84
651053005	105.03
651053006	111.24
2513237167	105.29
2513237173	106.05
2541047014	116.45
2541047574-cluster	107.6
2547132112	108.86
2565956583	104.27
2565956584-cluster	102.51
2565956585	105.3
2565956586	99.62
2568526430	99.37
2576861761	100.99
2588253744	107.09
2597490264-cluster	100.87
2634166389	97.13
2634166421	98.91
2636415613	112.13
2636415902	105.01
2639762843	111.51
2639763079	102.38
2639763164	104.8
2645727643	115
2645728090	108.01
2648501748	103.44
2651870312	100.66
2744055085	109.98
2747842549	111.46
2597490241	141.57
2597490243	89.06
2660237904	88.74
2529292584	86.09
2597490261	89.93
2616644832	59.75
2597490208	107.33
2671180748	115.94
648276623	125.02
2558860922	122.51
2634166294-cluster	127.26
2562617144	84.95
2597490252	83.96
2671180475	82.56
2597490217	94.15
2600254973	93.68
2600254983-cluster	100.84
2558860115	77.98
2597490251-cluster	79.43
2627853632	86.07
2645727713	85.29
2597490194	67.68
2645728051	66.52
2660238275-cluster	65.48
2503754025-cluster	127.78
2503754026	119.03
2503754028	129.22
2503754029	114.29
2503754030-cluster	114.2
2513237168	134.55
2609460013-cluster	120.52
2657245662-cluster	132.96
2597490256	103.75
2675903275	103.67
2627854274	107.87
651053008	109.48
2503754032	106.65
2503754033-cluster	108.71
2503754034	101.55
2503754035-cluster	101.17
2503754037	88.13
2503754038	104.04
2503754039	102.9
2503754040-cluster	110.65
2513237171	123.12
2522572151	105.21
2528768018	108
2529293221-cluster	120.15
2537561879	128.48
2585427648	115.02
2588254088-cluster	107.64
2588254090-cluster	110.22
2600254974-cluster	105.57
2600254982-cluster	108.76
2609460006-cluster	108.09
2627853716	105.01
2634166334	112.96
2687453622	113.55
2728369391	100.89
2744054475-cluster	98.86
2747842550	113.4
2524023203	72.25
2597490218	72.07
2695420660	71.5
2600254980	101.94
2660238375	101.53
2524023146	75
2597490263-cluster	76.66
2597489915-cluster	94.78
2502545009	104.49
2562617145	103.55
2597490216	102.18
2609460028-cluster	105.07
2597490262-cluster	77.04
2597490219	123.8
2627853606	124.87
2660238454	89.78
2600254975	138.97
2675903550	137.89
2597490258	99.96
2657244954	98.16
2597490226	135.02
2597490265-cluster	158.17
2568526170	95.36
2548877167	54.07
2600255001	55.34
2597489947	136.71
2524614804	133.6
2600254981-cluster	135.22
2524614678	98.25
2545824622	102.69
2558860129	100.13
2600254978	88.84
2600254984-cluster	98.87
2663763372	87.56
2671180426	98.03
2600254976	90.15
2524023141	94.52
2597490257-cluster	94.39
2531839498-cluster	61.03
2534682081	65.14
2534682082	60.37
2534682084-cluster	64.65
2534682085	62.31
2547132276	61.43
2547132266	52.82
2600255000	50.42
2529293143	54.17
2600254999	51
646311928	58.7
647000255	57.99
648276677	62.3
2534682083-cluster	50.61
2718217741	67.13
647533193-cluster	76.94
2537561560	83.87
647533207	70.87
2654587871	54.34
2524614662	220.38
2718218476	227.88
2636415475-cluster	204.16
2731957605	194.82
2574180248	205.28
647000216	120.32
2548877016	106.45
2744054563	103.07
2744054970	107.51
2634166182	242.96
2547132136	174.95
2634166531	215.68
2545824564	246.5
2505679089	231.57
646564520	222.22
2639762839	198.87
2505679016	183.28
2590828817	213.55
2731957583	211.27
2675903053	211.74
2556921112	227.92
2585427833	185.42
2643221818	225.06
2643221900	262.64
2643221690	256.91
2643221694-cluster	239.83
2744054515	216.01
2654588203	225.16
2690315899	217.96
2751185589	185.11
2505679049-cluster	232.14
2528768221	230.49
2645727600-cluster	253.48
2623620579	245.38
2551306489	232.19
2619619237	204.19
2681812868	234.92
2751185766	231.51
2627854284	141.52
2687453494	202.89
2596583702	269.4
2630968264	216.88
2504756063	165.07
2505679068	169
2531839721	167.86
644736376	132.58
2524614800	151.77
2728369740	190.21
2636416137	227.86
2643221613	254.8
2643221721	245.96
2681812856-cluster	249.1
2751185722	215.14
2561511089	145.55
2634166844	148.06
2596583659	383.93
2507525000	331.8
2738541272-cluster	400.09
2522572130	361.26
2739367654	347.93
2606217812	135.91
2627853609	182.95
2657245272	216.8
2643221947	239.83
2731957599	201.15
2734482071	176.45
2547132155	148.05
646311968	203.18
2731957681	214.07
2690315957	135.09
2660238532	120.48
2667527640	119.35
2671180374	163.76
2690315954	124.24
2663762970	159.51
2687453759-cluster	147.17
2667528145	149.2
2690315943	158.53
2700989459	146.76
2690315940	128.23
2663763145	149
2663763507	151.16
2671180261	162.3
2690315958	113.64
2657244995	143.57
2663762912	149.06
2663763161	153.77
644736331	189.06
2547132178	165.71
2576861791	226.46
2751185778	239.35
2548876527	161.42
2541047015	107.23
2648501350	116.14
2731957604	93.61
2690315877	98.62
2721755616	109.26
2751185668	146.24
2687453142	183.2
2537562210	184.24
2687453746	184.45
2634166369	214.75
2744054774	203.58
2521172561	186.43
2648501268	153.73
2588253755	156.34
2590828657	255.73
649633057	215.77
2588253842	266.67
2531839443	158
2718217638	176.3
2721755827	175.1
2690315895	161.77
2643221703	190.55
2690315844-cluster	186.49
2524023180	269.48
2639762785	219.9
2630968446	185.58
2681812814	186.33
2630968646	213.34
2643221704	188.45
2634166482	185.86
2731957585	166.98
2734482797	109.92
644736380	134.89
2645728084	244.48
2645727824	306.92
2648501368	203.8
2513237258	184.48
2671180024	199.72
2524614884	204.57
2671180066	235.78
2634166372	210.4
2643221567	224.88
2643221624	239.3
2643221855-cluster	233.41
2630968219	181.57
2751185733	211.56
2643221844	179.66
2600254961	159.2
2681812969	258.9
2675903632	185.27
2524614805	174.8
2547132400	177.24
2522125155	275.45
2740892466	269.7
2643221875-cluster	272.19
2643221711	270.66
2643221876	272.94
2636416099	287.21
2636415408	228.04
2630968945	200.39
2731639219	254.5
2630968525	209.01
2708742401	206.1
2708742395	186.95
2643221748-cluster	184.3
2643221787	215.64
2643221872	212.78
2708742470	198.68
2623620613	142.69
2634166154	134.12
2634166279	175.03
2597489936	140.98
2721755702	238.53
2698536811	226.42
2634166342	194.1
2643221549	216.98
2524023150	196.59
2643221754	242.12
2643221700	268.18
2643221619	224.53
2744054554	170.89
2690315658	233.66
2524023187	234.02
2734482167	195.25
2513237284	41.88
2675903689	61.71
2751185490	100.59
2636415928	156.66
2582580973	176.38
2708742539	168.22
2636415847-cluster	152.82
2744054585	167.91
2731639183	206.51
2596583567	121.67
2651869507	135.53
2651869521	136.81
2751185728	237.11
2663762753	216.85
2667527407	203.35
2667527402	165.05
2636416111	237.47
2597490200	238.15
2690315830	151.44
2731957856	177.08
2547132189-cluster	194.12
2630968408-cluster	193.59
2551306668	173.38
2731957857	184.68
2731957879	171.29
2731957880	174.13
2751185788	249.49
2551306524	195.5
2681813048	177.88
2643221840	209.38
2643221815	186.82
2751185786	180.01
2751185787	173
2721755459	200.87
2602042068	210.5
2595698215	204.65
2731639227	181.19
2643221908	167.69
2636415915-cluster	175.44
2643221862-cluster	164.82
2643221922	177.43
2643221827-cluster	176.54
2721755458	264.23
2524614536	266.56
2718217681	196.49
2523533581	145.33
2731957611	91.72
2521172760	138.96
2667527392	269.9
2731957614	204.34
2523533583	194.15
2734482166	203.67
2602041580	228.83
2579779107	251.94
2554235749	128.45
2639762661	210.12
2643221910	224.48
2522125173-cluster	220.1
2639762589-cluster	223.41
2639762526-cluster	199.52
2643221897	196.7
2643221865	249.47
2643221572-cluster	189.04
2548877166	177.97
2667528041	219.53
2524023214	146.62
2548876797	154.45
2639762569	162.95
2731957886	133.24
2657245433	184.95
2526164546	161.02
2576861310	156.96
2636415566	183.95
2744054967	183.93
2515154000	165.25
2643221446	138.99
2571042728	174.77
2639762578-cluster	213.6
2698536502	230.05
2551306110	190.51
2654587688-cluster	152.54
2616644834	192.42
2627854213-cluster	192.64
2643221811-cluster	141.59
2671180799	151.69
2636415545	194.13
2524614763	150.09
2728369555-cluster	181.93
2634166363-cluster	187.74
2721755905	200.39
2619619265	166.43
2576861730	149.62
2744054588	148.92
2585427556	159.78
2636415469	241.37
2547132176	197.6
2576861779	142.3
2731957587	147.35
2690315919	147.22
2648501514-cluster	143.49
2627854169-cluster	206.33
2681813053	212.73
2634166897-cluster	184.96
2617271234	173.02
2634166516	192.55
2731957582	212.23
2558309101-cluster	156.01
2639762635	155.97
2551306559	191.54
2519899511	218.96
2521172614-cluster	180.18
2639762631	178.66
2531839539-cluster	176.73
2522572100	216.46
2585428157	150.16
2526164566	196.71
2698536661	205.09
2706794585	174.76
2645728100	191.53
2643221803	262.99
2643221894-cluster	205.44
2643221903	188.7
2643221546	143.1
2643221553-cluster	184.44
2643221566	178.97
2643221575	215.66
2643221597	171.61
2718217947	179.94
2579778925	189.22
2687453447	184.1
2724679102	184.38
2690315932	183.52
2744054553	182.76
2740892225	199.7
2675903239	183.59
2643221918-cluster	183.76
2639762951-cluster	190.35
2551306562	150.71
2609459766	166.52
2609459760	213.78
2708742473	175.45
2710264756	192.77
2623620614-cluster	179.71
2731957891-cluster	206.05
2731957893	212.18
650716057	213.01
2698536670	248.4
2551306083	211.08
2551306116	157.27
2630968996	172.17
2585428094	188.34
2643221649	205.53
2634166341	203.59
2687453281	193.93
2744055029	54.66
2751185657-cluster	178.15
2667527394	168.73
2708742390	157.94
2643221737-cluster	207.3
2643221893-cluster	211.69
2708742472	222.18
2731957610	92.72
2713896982	205.96
2744054949	210.47
2524614761	98.21
2643221883	215.62
2643221885	215.33
2706795029	173.77
2708742461	210.69
2643221880-cluster	221.25
2744054984	157.73
2524023208	103.21
2657245033-cluster	103.53
2751185757	172.07
2728369736	134.34
2548876810	156.05
2545824763	134.26
2721755902	150.65
2504643007	46.48
2710264773	46.1
2643221632	175.46
2643221635	124.92
2517572146	111.04
2519899568	276.47
2643221705	337.18
2751185875	282.16
2634166197	254.82
2667527555	244.09
2684623062	235.96
2528768210	257.27
2684623226	275.31
2698536637	178.34
2731957569	208.6
2645727986	190.63
2524023227	252.41
2518645508	178.44
2519899710	169.88
2519103017	185.66
2519899713	238.96
2639762764	188.63
2654587575	178.71
2643221784	183.13
2551306361-cluster	184.31
2519899711	185.1
2642422544	205.79
2639762519-cluster	205.03
2634166276	292.4
2537561592	236.93
2706795028	276.03
2663762744	218.03
2643221510	243.02
2554235101	235.37
2654587724	260.07
2643221781	223.36
2643221913	292.58
2643221708	184.19
2690315846	225.67
2721755818	265.91
2609459742	291.78
2609459768	260.75
2609459738	231.44
2518645509-cluster	268.71
2751185874	122.47
2547132399	179.39
2617270780	154.63
649633006	208.84
2739367508	211.58
2728369644	128.84
2654587600	208.43
2554235227	190.52
2684622611	195.11
2627854287	178.92
2630968364	200.18
2681812973	176.7
2630968823-cluster	216.62
2645727772	204.47
2616645010	184.28
2556921096	144.03
2548877030	161.79
2721755800	190.58
2630968909-cluster	153.24
2540341240	133.64
2687453437	139.42
2724679117	138.05
2724679118	203.33
2547132105	137.19
2639762737	83.61
2739367653	134.62
2713896980	140.68
2547132190	200.57
2636415781	199.81
2526164567	150.11
2687453620	224.6
2713896981	141.24
2517287032	268.6
2751185873	281.19
2551306408	101.91
647000274	124.29
2574179829-cluster	125.11
2576861777	123.62
2630968544	112.38
2648501513-cluster	116.36
2675903547	116.7
2728369112	115.73
2744054593	110.67
2731957609	128.01
2718218086	127.24
2524023226	122.28
2602041911	125.49
2675903335	144.04
2667528166	163.6
2513237335	136.66
2510461014	284.74
2517572124	251.52
2643221490-cluster	252.61
2643221899	246.35
2523533508	264.6
2510917008-cluster	284.75
2684622508	269.64
2734481943	286.42
2690315828	269.62
2562617041	268.64
2718218256	242.57
2721755670	283.28
2731957828	250.18
2537561926	235.06
2634166551	280.82
2630968475	239.88
2634166282	244.14
2531839309	239.61
650377905	249.12
2648501281	263.7
2517572123	243.78
2517572214	240.23
2643221706	279.95
2643221808	238.69
2648501646	221.42
2643221845	236.79
2643221707	248.55
2690315906	247.93
2687453691	274.83
2728369374	283.11
2602041667	114.76
2513237283	121.79
2558860284	122.69
2609460180-cluster	125.39
648861015	118.43
2675903315-cluster	100.62
2731957608	106.76
2534682146	103.9
2687453485	102.76
2585427990	132.87
2517572001	101.84
2684622557	246.31
2524614768	134.26
2517572102	219.71
2724679791	271.9
2687453777	161.69
2728369474	314.39
2634166313	441.69
2639762615	456.74
2639763038	447
2509601042	317.68
2654587582	426.91
2728369516	258.76
2510065084	553.29
2700988713	578.35
2576861822	279.75
2506783011	300.54
2700989114	330.99
2517093007	448.43
649633045	528.48
2634166352	575.61
2645727714	634.65
2508501039	604.37
2506381019	561.53
2509887025	448.53
2517572101	402.43
2579778521	450.75
2619618881	443.98
2734482074	254.67
2600255077	205.32
2512564033	271.31
2556921017	285.52
2562617054	260.25
2599185193	217.07
2599185358	224.82
2724679778	285.62
2728369258	247.64
2700988699	253.79
2599185203	310.2
2599185195	336.21
2599185187	319.06
2724679686	307.72
2600255293	259.22
2599185194	271.3
2695420953	262.53
2585427554	254.72
646311931	300.49
2599185183	276.83
2700988693	238.93
2622736605	278.93
2622736631	272.45
2599185192	292.94
2561511235	291.04
2585427555	255.96
2687453773	277.4
2728369484	270.95
2602042031	243.66
2643221930	238.25
2643221932	264.09
2599185298	234.87
2619619277	276.42
2540341106	317.01
2585427561	247.89
2599185197	280.49
2522125134	286.28
2695420949	245.51
2690315646	229.1
2740892597	271.61
2751185683	405.94
2675903134	664.94
2751185784	692.96
2634166338	648.45
2728369278	517.89
2554235379	565.04
2728369518	681
2513237176	525.72
2675903218	630.64
2751185783	623.83
2554235409	555.38
2724679075	459.07
2511231151	556.15
2751185782	685.85
2636415654	572.47
2695420963	657.81
2724679919	632.89
2751185780	422.73
2675903059	517.33
2690315652	546.1
2515154016	454.91
2523533535	282.62
2718217679	330.85
2663762751	355.9
2671180087	318.9
2728369465	278.92
2513237120	327.43
2516653079	183.86
2523533533	571.75
2515154088-cluster	313.79
2515154125-cluster	339.03
2519103193-cluster	307.84
2501939600-cluster	403.91
2619619011-cluster	434.3
2739367903	410.38
2617270871	394.21
2681813563	398.44
2622736592	471.45
2622736432	393.25
2600254989	384.65
2623620611	389.33
2623620610	403.3
2623620569	423.61
2623620612	405.38
2623620609	394.94
2622736604	422.07
2623620557	423.23
2623620567	410.14
2739367861	427.9
2585427557	442.98
2622736613	460.58
2585427558	411.68
2515154124-cluster	294.76
2622736584	447.92
2630968772	450.89
2622736531	362.72
2622736513	387.95
2623620396	390.92
2585427560	405.32
2636415978	405.01
2617270872	414.85
2531839708	430.94
2622736534	348.66
650716103	392.5
2622736591	459.29
2619619047	355.72
2517434008	292.38
2524614807	295.31
2617270834	384.65
2619619644	368.45
2515154177	294.9
2516143118-cluster	306.13
2516493032	308.63
2585427559	414.66
2515154126-cluster	310.07
2515154182-cluster	284.26
2515154202-cluster	310.2
2751185840	417.54
2693429860	302.54
2622736606	433.85
2675903138-cluster	377.81
2627854289	388.71
2622736626	421.82
2623620551-cluster	410.71
2728369162	434.73
2622736535	402.51
2663762750	371.31
2634166273	361.03
2740891880	382.89
2739368068	479.98
2515154094-cluster	314.23
2622736612	376.57
2636416073	414.8
2517287023-cluster	285.83
2623620524	378.93
2737472056	421.6
2561511103	329.37
2563366531	293.2
2558860141	434.3
2596583683	315.34
2744054611	319.36
2558860395	124.57
2558860412	121.57
2558860421	120.85
2600255095	99.37
2744054894	106.21
647000230	133.49
2623620528	135.23
2597490150	114.46
2617270851	114.65
2541046993	114.44
2512047050	98.44
2681813517	99.84
2623620529	144.12
2554235426	85.74
2627854161	85.02
2648501457	82.96
2585427661	107.11
645951870	131.32
2627854278	120.78
2522572159	141.8
2561511200	144.27
2606217206	113.14
2690315867	113.03
2558860241	157.55
2515154014	119.37
2634166170	120.79
2718217777	163.1
2654588031	151.13
2511231059	114.88
2511231075-cluster	118.59
2511231083-cluster	111.53
2511231089	116.23
2511231091	114.24
2511231099	115.34
2511231111	118.29
2511231115	111.94
2511231126	111.49
2531839679-cluster	108.48
2541047477-cluster	92.91
2541047478	107.64
2548876921	115.22
2630968481	115.74
2639763133	109.48
2718217843	114.6
2639762811	129.27
2537561950	136.46
2623620526	135.01
645951842	156.3
2615840652	128.82
2571042744	130.62
2623620530	133.17
2524614613	143.42
2600255117	151.68
648276633	106.48
2623620527	117.51
2529292557	137.24
2554235405	154.09
2554235421-cluster	171.8
2636415695	171.02
2639763174	162.94
2684623129-cluster	171.68
2687453317	168.09
2687453329	171.25
2718218485	161.51
2576861442	186
2524023198	163.41
2556921045	162.14
2597490360-cluster	128.12
2597490159	120.55
2617271191	114.47
647000231	111.49
2660238682	116.24
2681813173	110.25
2657244997	103.48
2657245028-cluster	106.8
2663762951	105.11
2695420774	106.76
2700989377	110.92
2630968451-cluster	121.16
2606217205	106.76
2645727750	133.89
2630968455	131.25
2561511185	138.06
2524023165	95.6
2515154131	107.92
648276634	139.52
2645728081	126.72
2731957584	126.51
2648501444	134.28
2597490209	105.08
2634166344	101.04
2547132106	155.88
2603880163-cluster	160.27
2537561797	89.56
2600255151-cluster	88.69
2627854080	93.08
2623620533	135.34
2675903457	128.47
2630968875	119.42
2708742385	118.95
2556921672	100.69
2558860414-cluster	104.35
2511231067-cluster	105.71
2511231153	104.58
2512564036	103.91
2518645564	104.17
2518645565	102.81
2540341150	103.04
2588253761	105.73
2588253762-cluster	105.72
2627853633-cluster	108.42
2634166441-cluster	105.66
2636415463-cluster	105.76
2645727818	104.92
2648501731	105.68
2675903328	105.66
2541047000	129.59
2627853607	106.43
2636415433	104.72
2687453286	122.73
2687453511	131.82
2728369580	125.73
2600254920	137.86
2558860404-cluster	114.41
2718218447	107.51
2751185912	112.7
2751185910	103.54
2751185911	105.4
2623620534	122.47
2599185219	113.38
2513237121	143.66
2623620535	139.93
2684623105	139.37
2744054658	131.85
2554235357	132.68
2615840659	130.73
2551306128	119.9
2636416018	124.97
2562617094	122.86
650716030	123.23
651053019	116.42
2517093035-cluster	121.46
2563367224-cluster	123.88
2627853834	114.1
2627854250	115.27
2630968795-cluster	112.33
2636415853	112.02
2654587695	102.76
2515154059	103.26
2529292687	104.28
2615840660	111.03
2511231114	177.18
2684622509	161.03
2558860221	144.47
2617270853-cluster	129.09
2648501103	132.17
2547132114	171.95
2724679793	191.21
2728369259	184.44
2547132191	208.68
2737471650	213.16
2744054500	177.02
2512047058	284.12
2571042717	281.07
2636416144	290.67
2514885044	299.44
2523231037	273.93
2524614765	291.68
2519899569	208.08
646311932	298.37
2731957553	306.51
2563367079	180.86
2675903489	251.49
2645727985	274.25
